"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total," 1,509,585 "," 1,346,955 "," 1,469,009 "," 1,520,680 "," 1,516,457 "," 2,655,220 "," 1,929,841 "," 1,624,484 "," 1,902,850 "," 1,872,204 "," 1,949,629 "," 1,916,091 "," 2,140,470 "," 3,245,248 "," 3,476,049 "," 2,445,909 "," 2,086,090 "," 1,748,448 "," 1,884,601 "," 1,232,275 "," 1,229,043 "," 1,333,482 "," 1,217,371 "," 1,465,368 "," 1,351,671 "," 1,455,959 "," 1,467,255 "
1. Energia," 192,809 "," 196,376 "," 201,530 "," 206,003 "," 214,843 "," 230,983 "," 248,210 "," 264,335 "," 271,850 "," 281,509 "," 288,164 "," 296,285 "," 294,967 "," 287,747 "," 303,659 "," 313,396 "," 318,097 "," 331,367 "," 351,122 "," 339,280 "," 374,671 "," 389,722 "," 422,573 "," 453,938 "," 481,276 "," 455,926 "," 423,580 "
2. Processos industriais e uso de produtos (IPPU)," 53,553 "," 58,350 "," 56,399 "," 59,169 "," 59,115 "," 63,965 "," 63,310 "," 66,225 "," 70,902 "," 70,136 "," 73,758 "," 70,415 "," 74,626 "," 75,198 "," 79,025 "," 78,883 "," 79,712 "," 88,748 "," 87,050 "," 77,207 "," 87,101 "," 94,197 "," 95,422 "," 96,804 "," 94,748 "," 94,820 "," 93,359 "
3. Agropecuária," 329,510 "," 338,551 "," 343,784 "," 349,092 "," 356,668 "," 359,245 "," 338,622 "," 346,187 "," 351,916 "," 356,397 "," 370,116 "," 384,055 "," 395,192 "," 422,281 "," 438,856 "," 437,959 "," 438,185 "," 428,828 "," 436,739 "," 441,751 "," 458,091 "," 462,808 "," 461,832 "," 467,187 "," 472,596 "," 476,033 "," 487,005 "
"4. Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)"," 907,520 "," 725,889 "," 838,599 "," 875,589 "," 853,406 "," 1,966,770 "," 1,243,730 "," 910,578 "," 1,169,694 "," 1,123,756 "," 1,175,013 "," 1,120,206 "," 1,328,955 "," 2,411,440 "," 2,605,124 "," 1,564,054 "," 1,196,614 "," 845,990 "," 955,159 "," 318,030 "," 252,508 "," 328,904 "," 178,881 "," 384,572 "," 240,120 "," 364,982 "," 397,357 "
5. Resíduos," 26,194 "," 27,788 "," 28,697 "," 30,827 "," 32,426 "," 34,257 "," 35,969 "," 37,158 "," 38,487 "," 40,406 "," 42,578 "," 45,129 "," 46,731 "," 48,582 "," 49,385 "," 51,618 "," 53,482 "," 53,515 "," 54,530 "," 56,008 "," 56,672 "," 57,850 "," 58,664 "," 62,867 "," 62,931 "," 64,198 "," 65,954 "
"CO₂e (GWP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total," 1,594,283 "," 1,433,375 "," 1,557,896 "," 1,610,821 "," 1,607,990 "," 2,755,924 "," 2,020,593 "," 1,714,169 "," 1,995,469 "," 1,966,581 "," 2,047,021 "," 2,017,358 "," 2,244,670 "," 3,360,941 "," 3,597,478 "," 2,562,281 "," 2,198,178 "," 1,853,438 "," 1,992,002 "," 1,337,935 "," 1,335,754 "," 1,438,017 "," 1,320,548 "," 1,570,387 "," 1,455,950 "," 1,563,663 "," 1,576,545 "
1. Energia," 196,118 "," 199,710 "," 204,745 "," 208,970 "," 217,730 "," 233,681 "," 250,762 "," 266,950 "," 274,490 "," 284,211 "," 290,986 "," 299,293 "," 298,076 "," 290,716 "," 306,898 "," 317,209 "," 321,676 "," 334,785 "," 354,484 "," 342,982 "," 377,818 "," 392,539 "," 425,468 "," 456,625 "," 483,998 "," 458,742 "," 426,279 "
2. Processos industriais e uso de produtos (IPPU)," 53,503 "," 58,161 "," 56,265 "," 58,892 "," 58,826 "," 63,600 "," 63,047 "," 66,014 "," 70,318 "," 69,633 "," 73,149 "," 69,949 "," 73,990 "," 74,666 "," 78,203 "," 78,199 "," 78,952 "," 88,978 "," 87,279 "," 77,407 "," 87,353 "," 94,463 "," 95,679 "," 97,050 "," 94,982 "," 95,069 "," 93,597 "
3. Agropecuária," 394,660 "," 406,023 "," 412,164 "," 417,943 "," 426,499 "," 430,465 "," 404,686 "," 412,983 "," 419,498 "," 425,061 "," 440,610 "," 457,600 "," 469,523 "," 499,570 "," 520,185 "," 520,056 "," 519,686 "," 504,357 "," 513,828 "," 520,305 "," 538,345 "," 541,393 "," 539,709 "," 544,505 "," 550,015 "," 555,490 "," 567,043 "
"4. Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)"," 916,026 "," 733,392 "," 847,441 "," 884,931 "," 862,774 "," 1,983,628 "," 1,255,308 "," 919,877 "," 1,181,085 "," 1,135,111 "," 1,186,864 "," 1,131,714 "," 1,342,170 "," 2,432,621 "," 2,627,797 "," 1,579,549 "," 1,208,082 "," 855,489 "," 965,372 "," 324,157 "," 258,274 "," 334,081 "," 183,093 "," 390,071 "," 244,779 "," 370,446 "," 403,141 "
5. Resíduos," 33,976 "," 36,090 "," 37,281 "," 40,085 "," 42,162 "," 44,550 "," 46,790 "," 48,344 "," 50,077 "," 52,566 "," 55,412 "," 58,801 "," 60,911 "," 63,367 "," 64,394 "," 67,269 "," 69,783 "," 69,829 "," 71,039 "," 73,083 "," 73,966 "," 75,541 "," 76,599 "," 82,136 "," 82,176 "," 83,916 "," 86,484 "
"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
