"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - Setor Energia","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rondônia","  2,374 ","  1,903 ","  1,679 ","  1,771 ","  1,963 ","  2,212 ","  2,466 ","  2,467 ","  2,562 ","  3,150 ","  3,582 ","  3,090 ","  2,546 ","  2,908 ","  2,740 ","  3,027 ","  3,288 ","  2,914 ","  2,853 ","  3,806 ","  3,759 ","  3,139 ","  3,264 ","  3,236 ","  3,528 ","  3,363 ","  3,385 "
"Acre","  466 ","  567 ","  614 ","  714 ","  745 ","  877 ","  1,036 ","  1,166 ","  1,000 ","  1,338 ","  1,372 ","  1,507 ","  1,527 ","  1,475 ","  1,071 ","  1,007 ","  877 ","  750 ","  701 ","  691 ","  807 ","  813 ","  1,139 ","  849 ","  917 ","  904 ","  897 "
"Amazonas","  5,170 ","  6,033 ","  6,817 ","  6,297 ","  6,988 ","  9,276 ","  8,586 ","  9,975 ","  11,591 ","  12,693 ","  11,221 ","  10,331 ","  12,008 ","  9,801 ","  11,018 ","  12,309 ","  12,930 ","  14,563 ","  13,687 ","  14,067 ","  15,405 ","  16,027 ","  17,044 ","  17,233 ","  17,550 ","  16,472 ","  14,629 "
"Roraima","  451 ","  707 ","  616 ","  654 ","  708 ","  781 ","  917 ","  915 ","  803 ","  1,168 ","  780 ","  435 ","  367 ","  354 ","  343 ","  311 ","  364 ","  368 ","  400 ","  449 ","  828 ","  495 ","  528 ","  607 ","  764 ","  760 ","  718 "
"Pará","  3,887 ","  4,150 ","  4,087 ","  4,483 ","  4,718 ","  4,350 ","  4,273 ","  5,357 ","  6,161 ","  6,858 ","  7,745 ","  9,018 ","  7,737 ","  8,940 ","  9,390 ","  9,528 ","  10,748 ","  11,450 ","  11,139 ","  11,217 ","  13,436 ","  14,196 ","  15,327 ","  15,571 ","  16,623 ","  16,685 ","  16,073 "
"Amapá","  227 ","  261 ","  386 ","  577 ","  604 ","  446 ","  313 ","  747 ","  709 ","  923 ","  900 ","  764 ","  807 ","  1,107 ","  1,335 ","  1,360 ","  1,043 ","  1,389 ","  1,269 ","  1,627 ","  1,582 ","  1,626 ","  1,755 ","  1,775 ","  1,848 ","  1,147 ","  669 "
"Tocantins","  903 ","  843 ","  966 ","  987 ","  977 ","  977 ","  1,207 ","  1,416 ","  1,470 ","  1,353 ","  1,329 ","  1,298 ","  1,426 ","  1,446 ","  1,585 ","  1,604 ","  1,709 ","  1,929 ","  2,089 ","  2,029 ","  2,416 ","  2,553 ","  2,867 ","  3,111 ","  3,339 ","  3,215 ","  3,124 "
"Maranhão","  2,319 ","  2,425 ","  2,696 ","  3,641 ","  3,527 ","  2,677 ","  2,853 ","  2,825 ","  3,123 ","  3,105 ","  3,248 ","  3,153 ","  3,445 ","  3,412 ","  3,567 ","  3,723 ","  3,876 ","  4,354 ","  4,768 ","  4,384 ","  6,166 ","  7,255 ","  8,050 ","  9,892 ","  18,072 ","  16,893 ","  17,430 "
"Piauí","  816 ","  851 ","  873 ","  847 ","  850 ","  908 ","  1,055 ","  1,087 ","  1,113 ","  1,221 ","  1,289 ","  1,521 ","  1,335 ","  1,326 ","  1,501 ","  1,478 ","  1,505 ","  1,618 ","  1,849 ","  1,895 ","  2,198 ","  2,251 ","  2,664 ","  2,828 ","  3,105 ","  2,905 ","  2,763 "
"Ceará","  2,402 ","  2,637 ","  2,738 ","  2,853 ","  2,976 ","  3,322 ","  3,723 ","  4,077 ","  4,273 ","  4,241 ","  4,214 ","  4,385 ","  4,440 ","  4,166 ","  4,474 ","  4,738 ","  4,753 ","  4,745 ","  5,121 ","  5,494 ","  7,161 ","  7,210 ","  8,292 ","  10,191 ","  10,558 ","  10,167 ","  9,087 "
"Rio Grande do Norte","  2,422 ","  2,346 ","  2,448 ","  2,668 ","  2,921 ","  3,157 ","  3,368 ","  3,599 ","  3,866 ","  3,961 ","  4,060 ","  4,217 ","  4,282 ","  4,203 ","  4,543 ","  4,885 ","  4,788 ","  4,710 ","  4,431 ","  4,402 ","  4,282 ","  4,438 ","  4,721 ","  4,881 ","  5,163 ","  4,719 ","  4,210 "
"Paraíba","  1,266 ","  1,481 ","  1,544 ","  1,576 ","  1,640 ","  1,804 ","  2,024 ","  2,062 ","  2,244 ","  2,141 ","  1,952 ","  1,943 ","  2,162 ","  2,073 ","  2,254 ","  2,188 ","  2,307 ","  2,462 ","  2,554 ","  2,589 ","  2,997 ","  3,285 ","  4,116 ","  4,859 ","  6,208 ","  6,181 ","  4,600 "
"Pernambuco","  4,372 ","  4,471 ","  4,849 ","  4,184 ","  4,280 ","  4,743 ","  5,345 ","  5,770 ","  5,974 ","  6,399 ","  6,367 ","  6,672 ","  7,107 ","  6,418 ","  6,771 ","  8,087 ","  6,636 ","  6,557 ","  7,147 ","  7,371 ","  9,892 ","  13,412 ","  11,931 ","  14,545 ","  16,939 ","  17,143 ","  16,123 "
"Alagoas","  1,748 ","  1,714 ","  1,806 ","  2,077 ","  2,499 ","  2,468 ","  2,502 ","  2,612 ","  2,719 ","  2,696 ","  2,884 ","  3,083 ","  3,303 ","  3,260 ","  3,549 ","  3,759 ","  3,688 ","  3,671 ","  3,411 ","  3,326 ","  3,325 ","  3,427 ","  3,646 ","  3,791 ","  3,809 ","  3,550 ","  3,576 "
"Sergipe","  1,549 ","  1,536 ","  1,697 ","  1,709 ","  1,795 ","  1,916 ","  2,193 ","  2,388 ","  2,630 ","  2,477 ","  2,462 ","  2,464 ","  2,443 ","  2,418 ","  2,571 ","  2,735 ","  3,722 ","  4,094 ","  4,684 ","  4,549 ","  3,579 ","  3,690 ","  3,726 ","  3,784 ","  3,885 ","  3,377 ","  3,290 "
"Bahia","  12,326 ","  12,298 ","  13,265 ","  12,827 ","  12,673 ","  13,072 ","  14,669 ","  15,292 ","  16,084 ","  16,059 ","  15,687 ","  17,308 ","  16,673 ","  16,686 ","  18,683 ","  19,376 ","  20,373 ","  22,085 ","  23,888 ","  22,663 ","  23,224 ","  23,981 ","  25,777 ","  28,878 ","  28,855 ","  25,275 ","  22,954 "
"Minas Gerais","  19,346 ","  21,347 ","  19,964 ","  20,426 ","  20,565 ","  23,326 ","  25,054 ","  27,217 ","  27,053 ","  27,337 ","  27,676 ","  27,873 ","  27,411 ","  26,366 ","  28,474 ","  29,702 ","  31,024 ","  32,185 ","  33,416 ","  30,876 ","  36,050 ","  36,651 ","  38,880 ","  40,852 ","  42,230 ","  37,457 ","  36,305 "
"Espírito Santo","  4,560 ","  4,788 ","  4,840 ","  4,924 ","  5,593 ","  5,700 ","  5,441 ","  5,722 ","  6,005 ","  6,250 ","  8,131 ","  7,775 ","  7,799 ","  8,016 ","  6,744 ","  7,503 ","  8,708 ","  9,542 ","  12,267 ","  9,090 ","  12,947 ","  16,342 ","  16,341 ","  17,760 ","  19,135 ","  17,505 ","  15,194 "
