"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - setor IPPU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rondônia","  29 ","  29 ","  27 ","  33 ","  31 ","  35 ","  38 ","  35 ","  33 ","  35 ","  41 ","  41 ","  43 ","  47 ","  51 ","  53 ","  55 ","  59 ","  64 ","  103 ","  287 ","  339 ","  352 ","  314 ","  309 ","  319 ","  300 "
"Acre","  5 ","  5 ","  5 ","  6 ","  6 ","  6 ","  7 ","  7 ","  7 ","  8 ","  9 ","  9 ","  10 ","  11 ","  12 ","  13 ","  14 ","  15 ","  18 ","  18 ","  23 ","  27 ","  29 ","  32 ","  34 ","  35 ","  37 "
"Amazonas","  278 ","  289 ","  250 ","  274 ","  266 ","  302 ","  353 ","  367 ","  376 ","  386 ","  397 ","  383 ","  370 ","  361 ","  374 ","  381 ","  386 ","  416 ","  458 ","  411 ","  478 ","  546 ","  550 ","  581 ","  538 ","  557 ","  535 "
"Roraima","  4 ","  4 ","  4 ","  5 ","  5 ","  5 ","  6 ","  5 ","  5 ","  5 ","  7 ","  7 ","  7 ","  8 ","  9 ","  9 ","  10 ","  11 ","  12 ","  12 ","  16 ","  19 ","  20 ","  22 ","  23 ","  25 ","  25 "
"Pará","  1,318 ","  1,744 ","  1,919 ","  2,004 ","  2,005 ","  2,016 ","  2,060 ","  1,481 ","  1,695 ","  1,493 ","  1,369 ","  1,271 ","  1,349 ","  1,420 ","  1,502 ","  1,505 ","  1,539 ","  1,613 ","  1,873 ","  1,939 ","  2,193 ","  2,291 ","  2,428 ","  2,504 ","  2,385 ","  2,462 ","  2,491 "
"Amapá","  5 ","  5 ","  4 ","  5 ","  5 ","  6 ","  6 ","  6 ","  6 ","  7 ","  8 ","  8 ","  9 ","  10 ","  11 ","  12 ","  13 ","  14 ","  16 ","  16 ","  21 ","  24 ","  26 ","  30 ","  32 ","  33 ","  35 "
"Tocantins","  19 ","  19 ","  18 ","  21 ","  20 ","  23 ","  25 ","  24 ","  23 ","  25 ","  29 ","  29 ","  31 ","  33 ","  36 ","  38 ","  41 ","  44 ","  48 ","  96 ","  229 ","  254 ","  275 ","  271 ","  272 ","  281 ","  262 "
"Maranhão","  1,000 ","  1,004 ","  1,007 ","  936 ","  872 ","  822 ","  873 ","  931 ","  907 ","  920 ","  913 ","  835 ","  1,075 ","  960 ","  934 ","  977 ","  1,091 ","  1,096 ","  1,147 ","  1,093 ","  1,149 ","  1,209 ","  1,324 ","  1,268 ","  910 ","  684 ","  599 "
"Piauí","  115 ","  120 ","  103 ","  110 ","  109 ","  123 ","  145 ","  156 ","  164 ","  168 ","  171 ","  166 ","  163 ","  156 ","  162 ","  214 ","  193 ","  226 ","  266 ","  301 ","  327 ","  332 ","  358 ","  376 ","  387 ","  384 ","  363 "
"Ceará","  639 ","  677 ","  602 ","  632 ","  625 ","  705 ","  799 ","  854 ","  921 ","  921 ","  951 ","  925 ","  917 ","  913 ","  935 ","  987 ","  1,006 ","  1,157 ","  1,186 ","  1,166 ","  1,241 ","  1,332 ","  1,423 ","  1,476 ","  1,507 ","  1,493 ","  2,943 "
"Rio Grande do Norte","  149 ","  155 ","  134 ","  146 ","  143 ","  161 ","  189 ","  199 ","  206 ","  212 ","  218 ","  211 ","  207 ","  201 ","  209 ","  225 ","  236 ","  267 ","  280 ","  285 ","  308 ","  397 ","  634 ","  762 ","  815 ","  801 ","  743 "
"Paraíba","  493 ","  522 ","  437 ","  459 ","  455 ","  518 ","  620 ","  675 ","  712 ","  726 ","  718 ","  686 ","  655 ","  607 ","  620 ","  676 ","  752 ","  804 ","  859 ","  783 ","  907 ","  861 ","  1,034 ","  1,044 ","  1,064 ","  1,043 ","  959 "
"Pernambuco","  436 ","  464 ","  432 ","  457 ","  450 ","  502 ","  532 ","  558 ","  579 ","  571 ","  622 ","  611 ","  634 ","  643 ","  662 ","  706 ","  717 ","  888 ","  896 ","  887 ","  939 ","  1,105 ","  1,196 ","  1,240 ","  1,261 ","  1,277 ","  1,282 "
"Alagoas","  186 ","  180 ","  157 ","  182 ","  170 ","  187 ","  219 ","  231 ","  240 ","  246 ","  260 ","  249 ","  245 ","  239 ","  247 ","  276 ","  294 ","  329 ","  343 ","  292 ","  383 ","  403 ","  418 ","  491 ","  505 ","  493 ","  472 "
"Sergipe","  719 ","  748 ","  638 ","  673 ","  667 ","  754 ","  886 ","  964 ","  1,008 ","  1,035 ","  1,006 ","  948 ","  913 ","  852 ","  877 ","  974 ","  1,007 ","  1,145 ","  1,105 ","  1,108 ","  1,264 ","  1,298 ","  1,263 ","  1,357 ","  1,455 ","  1,530 ","  1,374 "
"Bahia","  2,431 ","  2,439 ","  2,424 ","  2,542 ","  2,622 ","  2,744 ","  2,835 ","  3,052 ","  3,185 ","  3,345 ","  3,514 ","  3,263 ","  3,314 ","  3,470 ","  3,635 ","  3,750 ","  3,810 ","  4,084 ","  3,880 ","  3,686 ","  4,031 ","  4,341 ","  4,026 ","  4,208 ","  4,162 ","  4,034 ","  4,070 "
"Minas Gerais","  13,230 ","  14,283 ","  13,739 ","  14,035 ","  14,018 ","  15,337 ","  15,322 ","  16,494 ","  17,535 ","  16,789 ","  18,172 ","  17,657 ","  18,725 ","  19,100 ","  19,446 ","  19,677 ","  19,468 ","  24,698 ","  24,132 ","  19,517 ","  22,684 ","  23,405 ","  24,205 ","  23,549 ","  22,919 ","  22,380 ","  23,232 "
"Espírito Santo","  5,220 ","  5,763 ","  5,615 ","  5,637 ","  5,658 ","  6,237 ","  6,084 ","  6,597 ","  7,031 ","  6,583 ","  7,281 ","  7,146 ","  7,695 ","  7,806 ","  7,872 ","  7,669 ","  7,414 ","  9,856 ","  10,036 ","  8,776 ","  9,135 ","  8,723 ","  7,506 ","  7,615 ","  8,445 ","  10,712 ","  11,641 "
"Rio de Janeiro","  7,565 ","  8,248 ","  8,198 ","  8,344 ","  8,351 ","  9,033 ","  8,634 ","  9,289 ","  9,416 ","  9,380 ","  9,809 ","  9,549 ","  10,194 ","  10,375 ","  10,512 ","  10,323 ","  10,195 ","  12,936 ","  11,937 ","  10,855 ","  12,478 ","  16,687 ","  17,199 ","  17,223 ","  16,589 ","  16,893 ","  16,167 "
"São Paulo","  13,600 ","  15,313 ","  14,910 ","  16,444 ","  16,396 ","  17,566 ","  16,064 ","  16,187 ","  18,342 ","  18,622 ","  19,232 ","  17,739 ","  19,513 ","  19,425 ","  22,075 ","  21,401 ","  22,395 ","  18,750 ","  17,835 ","  15,522 ","  17,336 ","  17,846 ","  18,052 ","  18,402 ","  17,297 ","  16,242 ","  13,170 "
"Paraná","  1,958 ","  2,062 ","  1,813 ","  1,924 ","  1,894 ","  2,138 ","  2,426 ","  2,583 ","  2,685 ","  2,712 ","  2,760 ","  2,647 ","  2,602 ","  2,512 ","  2,580 ","  2,633 ","  2,505 ","  2,941 ","  3,183 ","  3,036 ","  3,349 ","  3,455 ","  3,406 ","  3,737 ","  3,565 ","  3,221 ","  3,181 "
"Santa Catarina","  290 ","  292 ","  269 ","  314 ","  299 ","  335 ","  376 ","  361 ","  351 ","  365 ","  405 ","  399 ","  396 ","  419 ","  445 ","  455 ","  469 ","  521 ","  592 ","  563 ","  705 ","  994 ","  1,383 ","  1,382 ","  1,531 ","  1,489 ","  1,480 "
"Rio Grande do Sul","  2,277 ","  2,329 ","  2,262 ","  2,459 ","  2,552 ","  2,710 ","  2,809 ","  3,052 ","  3,202 ","  3,268 ","  3,528 ","  3,376 ","  3,392 ","  3,492 ","  3,614 ","  3,573 ","  3,676 ","  4,133 ","  4,025 ","  3,845 ","  4,318 ","  4,697 ","  4,442 ","  4,650 ","  4,430 ","  4,420 ","  4,565 "
"Mato Grosso do Sul","  308 ","  315 ","  279 ","  300 ","  294 ","  328 ","  376 ","  390 ","  424 ","  432 ","  444 ","  431 ","  416 ","  430 ","  449 ","  452 ","  459 ","  507 ","  561 ","  533 ","  584 ","  628 ","  658 ","  648 ","  630 ","  596 ","  530 "
