,"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Rondônia,122033.0,93592.0,118816.0,130559.0,129881.0,302947.0,143686.0,114840.0,116660.0,144198.0,145986.0,169084.0,192453.0,258326.0,283009.0,229898.0,168713.0,129702.0,90885.0,36437.0,33143.0,63714.0,58277.0,69164.0,52616.0,79502.0,105958.0
1,Acre,36541.0,25361.0,32864.0,36269.0,35814.0,88874.0,26833.0,21473.0,34621.0,28228.0,35232.0,27409.0,62981.0,84324.0,54256.0,40166.0,41766.0,13424.0,22592.0,10690.0,21747.0,14789.0,17830.0,10222.0,18107.0,14753.0,24460.0
2,Amazonas,43000.0,26544.0,28900.0,13474.0,9724.0,86043.0,8608.0,-18586.0,-13637.0,-27182.0,-41076.0,-39100.0,-32983.0,71870.0,32052.0,-22228.0,-10483.0,-36876.0,-38605.0,-73193.0,-55506.0,-83790.0,-81889.0,-77261.0,-83521.0,-68657.0,-37572.0
3,Roraima,6378.0,4649.0,-4775.0,-4039.0,-4109.0,7311.0,6678.0,3782.0,7251.0,4484.0,3789.0,14442.0,-13766.0,64569.0,39856.0,2705.0,-2836.0,-231.0,16593.0,-12207.0,-3701.0,-8721.0,-9916.0,-5993.0,-1631.0,-6735.0,-2728.0
4,Pará,244632.0,188289.0,229367.0,250132.0,243035.0,598907.0,442907.0,282562.0,415914.0,363760.0,477521.0,382218.0,558958.0,727946.0,940256.0,573686.0,439450.0,392096.0,402666.0,267381.0,222837.0,179246.0,71731.0,125351.0,87934.0,113830.0,187675.0
5,Amapá,-53.0,-1365.0,-2701.0,-2299.0,-2208.0,292.0,-4997.0,5132.0,10082.0,-6603.0,-6465.0,-2504.0,-6599.0,-429.0,6896.0,2145.0,-4844.0,-5456.0,-1344.0,-2952.0,-4094.0,-5628.0,-9301.0,-9379.0,-8283.0,-9963.0,-11255.0
6,Tocantins,48798.0,44193.0,50008.0,52681.0,52650.0,88551.0,56337.0,53795.0,71705.0,47965.0,49702.0,47265.0,47955.0,88569.0,90079.0,102039.0,69736.0,48243.0,56291.0,49513.0,48725.0,39189.0,41349.0,63288.0,51305.0,66304.0,41019.0
7,Maranhão,100289.0,87459.0,97739.0,103057.0,102605.0,190196.0,133078.0,81606.0,128845.0,149548.0,133419.0,129173.0,137928.0,188651.0,159504.0,167645.0,114704.0,127402.0,189213.0,112397.0,102487.0,104058.0,90105.0,112677.0,110541.0,97090.0,91225.0
8,Piauí,15791.0,16073.0,16153.0,15933.0,16122.0,19853.0,18976.0,18624.0,18691.0,18408.0,18519.0,18897.0,18554.0,24686.0,24867.0,23047.0,23095.0,19299.0,19689.0,22840.0,21283.0,25454.0,25978.0,31887.0,29806.0,23516.0,22008.0
9,Ceará,14574.0,15011.0,15120.0,14211.0,14653.0,16942.0,17500.0,17868.0,17544.0,17799.0,18036.0,18197.0,18381.0,23319.0,23698.0,24967.0,25214.0,24762.0,25478.0,21556.0,20494.0,20683.0,21901.0,23366.0,23794.0,23312.0,24256.0
10,RioGrandedoNorte,6273.0,6287.0,6325.0,5868.0,6352.0,7422.0,7926.0,8198.0,8253.0,8327.0,8607.0,8553.0,8767.0,9558.0,10039.0,10673.0,10748.0,10523.0,10304.0,9149.0,8196.0,8940.0,9166.0,9920.0,10039.0,9624.0,9049.0
11,Paraíba,6842.0,7108.0,7096.0,6150.0,6488.0,7611.0,8105.0,8261.0,7847.0,7760.0,7811.0,7597.0,7886.0,7542.0,7862.0,8159.0,8558.0,8688.0,9017.0,7927.0,9199.0,9145.0,9439.0,10292.0,11842.0,11857.0,10500.0
12,Pernambuco,13723.0,13954.0,14305.0,12304.0,12740.0,15073.0,16348.0,16455.0,16191.0,16507.0,16970.0,16612.0,17260.0,16322.0,16889.0,18964.0,18125.0,18262.0,19025.0,17462.0,19664.0,24426.0,22034.0,24591.0,27056.0,27829.0,26726.0
13,Alagoas,5240.0,5319.0,5421.0,5330.0,5940.0,6583.0,6463.0,6862.0,6839.0,6668.0,6863.0,6819.0,6924.0,8505.0,8901.0,9360.0,9491.0,9610.0,9373.0,8169.0,7788.0,7890.0,8697.0,8376.0,8468.0,8146.0,8169.0
14,Sergipe,5113.0,5169.0,5257.0,5056.0,4998.0,5546.0,6073.0,6363.0,6644.0,6583.0,6458.0,6187.0,6140.0,6886.0,7123.0,7681.0,8917.0,9385.0,9993.0,9051.0,8344.0,8073.0,8947.0,8461.0,8559.0,8445.0,7961.0
15,Bahia,57372.0,58044.0,59725.0,55361.0,54751.0,58571.0,60558.0,60961.0,59343.0,59497.0,57763.0,79554.0,78484.0,100092.0,102460.0,89882.0,96643.0,100544.0,102349.0,75770.0,60365.0,78015.0,80625.0,86497.0,78478.0,76679.0,67606.0
16,MinasGerais,100080.0,103743.0,102687.0,104197.0,103830.0,120676.0,114520.0,125069.0,121748.0,125275.0,128320.0,115315.0,116197.0,159733.0,168849.0,129889.0,137282.0,133369.0,132979.0,100961.0,110983.0,136722.0,144062.0,155093.0,153633.0,129270.0,108309.0
17,EspíritoSanto,14995.0,15358.0,15134.0,15863.0,15749.0,19112.0,16719.0,17265.0,18524.0,17825.0,19619.0,16408.0,16457.0,17263.0,16148.0,16823.0,17974.0,21742.0,24003.0,19817.0,24113.0,31421.0,28022.0,29061.0,31250.0,33546.0,32894.0
18,RiodeJaneiro,45752.0,44538.0,44599.0,46204.0,48409.0,56888.0,52078.0,54631.0,53299.0,55011.0,58501.0,61789.0,63218.0,62110.0,64907.0,70689.0,73133.0,77710.0,85973.0,82551.0,81825.0,80785.0,90127.0,97679.0,104027.0,100434.0,92318.0
19,SãoPaulo,107593.0,109287.0,111391.0,114758.0,118383.0,133685.0,130227.0,130757.0,133091.0,135827.0,139372.0,132082.0,130904.0,152080.0,152742.0,148899.0,148396.0,126550.0,127097.0,122003.0,130447.0,145121.0,152412.0,158353.0,155760.0,146232.0,149019.0
20,Paraná,36979.0,36523.0,36703.0,37316.0,39584.0,47231.0,66576.0,63164.0,66616.0,63777.0,63969.0,39475.0,39895.0,53640.0,54460.0,53154.0,42341.0,43718.0,45687.0,39652.0,42715.0,47431.0,57388.0,60578.0,54895.0,58546.0,58545.0
21,SantaCatarina,19826.0,19398.0,19886.0,20411.0,17937.0,28011.0,22149.0,20440.0,21747.0,20668.0,20961.0,15530.0,15538.0,17648.0,17044.0,18256.0,17995.0,19650.0,21635.0,12368.0,12681.0,24427.0,27103.0,30854.0,33610.0,29323.0,30232.0
22,RioGrandedoSul,61486.0,61116.0,63510.0,64644.0,64966.0,69773.0,60236.0,60754.0,61770.0,63247.0,63610.0,62358.0,62532.0,72264.0,72972.0,69535.0,73427.0,72749.0,75429.0,73522.0,83165.0,75681.0,74099.0,78130.0,75810.0,78650.0,76023.0
23,MatoGrossodoSul,62260.0,62976.0,64689.0,67606.0,68404.0,67855.0,69549.0,70396.0,70996.0,71141.0,72527.0,66452.0,66733.0,165524.0,165381.0,124011.0,120224.0,83145.0,84441.0,59188.0,61661.0,55994.0,57240.0,66980.0,56120.0,73724.0,55453.0
24,MatoGrosso,255405.0,217556.0,249377.0,266717.0,267418.0,515057.0,348189.0,298328.0,343873.0,374473.0,343102.0,415161.0,417373.0,706316.0,796405.0,438218.0,351843.0,228379.0,269839.0,89052.0,81603.0,160619.0,128870.0,186888.0,158445.0,229998.0,206014.0
25,Goiás,75077.0,77016.0,77618.0,78975.0,78306.0,91735.0,89576.0,90095.0,92710.0,93655.0,95039.0,95543.0,96622.0,151446.0,152775.0,82047.0,80889.0,66508.0,68420.0,67285.0,72201.0,82556.0,85512.0,102320.0,94269.0,92897.0,76119.0
26,DistritoFederal,3587.0,3756.0,3796.0,3942.0,4033.0,4475.0,4944.0,5387.0,5681.0,5359.0,5476.0,5574.0,5677.0,6487.0,6621.0,5598.0,5590.0,5550.0,5578.0,5887.0,6679.0,7239.0,7567.0,7973.0,8741.0,7808.0,7273.0
27,Brasil,1509585.0,1346955.0,1469009.0,1520680.0,1516457.0,2655220.0,1929841.0,1624484.0,1902850.0,1872204.0,1949629.0,1916091.0,2140470.0,3245248.0,3476049.0,2445909.0,2086090.0,1748448.0,1884601.0,1232275.0,1229044.0,1333482.0,1217371.0,1465368.0,1351671.0,1455959.0,1467255.0
