,Project ID,Project Developer,Project Type,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Total Number of Credits Registered 
1,ACR206,EOS Climate Inc,Ozone Depleting Substances,El Dorado,ARKANSAS,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",71825.0
3,ACR521,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",62007.0
4,ACR522,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",94565.0
5,ACR443,A-Gas US Inc.,Ozone Depleting Substances,"Wood County, Bowling Green, Ohio",OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",114871.0
6,ACR444,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",88307.0
7,ACR473,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",125403.0
8,ACR474,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",149835.0
9,ACR475,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",91017.0
10,ACR497,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",42038.0
11,ACR503,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",136444.0
12,ACR496,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",51610.0
13,ACR533,A-Gas US Inc.,Ozone Depleting Substances,Bowling Green,OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",81042.0
14,ACR573,A-Gas US Inc.,Industrial Process Emissions,"Wood County, Bowling Green, Ohio",OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",83702.0
15,ACR583,A-Gas US Inc.,Industrial Process Emissions,"Wood County, Bowling Green, Ohio",OHIO,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",23045.0
17,ACR526,"True Manufacturing Co., Inc.",Industrial Process Emissions,O'Fallon,MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",21141.0
18,ACR528,"True Manufacturing Co., Inc.",Industrial Process Emissions,"O'Fallon, MO",MISSOURI,US,"Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action",41381.0
