"CO₂e (GWP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3. Agropecuária," 394,660 "," 406,023 "," 412,164 "," 417,943 "," 426,499 "," 430,465 "," 404,686 "," 412,983 "," 419,498 "," 425,061 "," 440,610 "," 457,600 "," 469,523 "," 499,570 "," 520,185 "," 520,056 "," 519,686 "," 504,357 "," 513,828 "," 520,305 "," 538,345 "," 541,393 "," 539,709 "," 544,505 "," 550,015 "," 555,490 "," 567,043 "
3.A.   Fermentação Entérica," 284,990 "," 293,966 "," 298,100 "," 300,245 "," 305,451 "," 311,164 "," 291,670 "," 296,761 "," 301,278 "," 304,188 "," 314,225 "," 327,954 "," 333,416 "," 351,039 "," 367,149 "," 370,824 "," 368,986 "," 348,262 "," 354,052 "," 360,490 "," 371,004 "," 364,176 "," 362,420 "," 363,025 "," 364,390 "," 371,224 "," 376,950 "
3.A.1.     Bovinos," 273,371 "," 282,183 "," 286,296 "," 288,847 "," 293,798 "," 299,324 "," 282,558 "," 287,624 "," 292,066 "," 294,798 "," 304,600 "," 318,286 "," 323,863 "," 341,333 "," 357,330 "," 360,798 "," 358,902 "," 338,390 "," 344,139 "," 350,624 "," 360,934 "," 353,913 "," 352,532 "," 353,041 "," 354,285 "," 360,814 "," 366,443 "
3.A.1.a.       Bovinos de corte," 223,759 "," 230,464 "," 233,136 "," 236,643 "," 241,694 "," 245,856 "," 240,284 "," 243,474 "," 247,328 "," 249,784 "," 258,223 "," 271,026 "," 276,557 "," 292,933 "," 306,960 "," 308,770 "," 306,077 "," 286,252 "," 290,795 "," 295,173 "," 304,096 "," 297,643 "," 297,203 "," 297,081 "," 298,182 "," 308,846 "," 317,816 "
3.A.1.b.       Bovinos de leite," 49,612 "," 51,719 "," 53,159 "," 52,204 "," 52,104 "," 53,468 "," 42,274 "," 44,150 "," 44,738 "," 45,013 "," 46,377 "," 47,260 "," 47,306 "," 48,400 "," 50,369 "," 52,028 "," 52,826 "," 52,138 "," 53,344 "," 55,451 "," 56,838 "," 56,270 "," 55,328 "," 55,960 "," 56,103 "," 51,968 "," 48,628 "
3.A.2.     Ovinos," 2,807 "," 2,818 "," 2,794 "," 2,525 "," 2,585 "," 2,567 "," 2,062 "," 2,035 "," 1,998 "," 2,016 "," 2,070 "," 2,049 "," 1,999 "," 2,038 "," 2,108 "," 2,182 "," 2,243 "," 2,274 "," 2,328 "," 2,354 "," 2,433 "," 2,474 "," 2,351 "," 2,421 "," 2,466 "," 2,577 "," 2,577 "
3.A.3.     Suínos, 943 , 960 , 967 , 959 , 984 ," 1,010 ", 818 , 830 , 840 , 863 , 884 , 913 , 894 , 905 , 926 , 954 , 985 ," 1,006 "," 1,031 "," 1,065 "," 1,091 "," 1,101 "," 1,086 "," 1,029 "," 1,062 "," 1,114 "," 1,117 "
3.A.4.     Outros animais," 7,869 "," 8,005 "," 8,044 "," 7,914 "," 8,083 "," 8,263 "," 6,232 "," 6,272 "," 6,373 "," 6,511 "," 6,671 "," 6,706 "," 6,661 "," 6,763 "," 6,784 "," 6,890 "," 6,856 "," 6,592 "," 6,553 "," 6,447 "," 6,545 "," 6,688 "," 6,452 "," 6,535 "," 6,577 "," 6,718 "," 6,813 "
3.B.   Manejo de Dejetos Animais," 17,818 "," 18,456 "," 18,853 "," 18,667 "," 19,223 "," 19,846 "," 17,148 "," 17,481 "," 17,669 "," 18,182 "," 18,952 "," 19,862 "," 19,791 "," 20,682 "," 21,524 "," 21,951 "," 22,363 "," 22,026 "," 22,691 "," 23,376 "," 24,091 "," 26,212 "," 26,287 "," 26,163 "," 26,780 "," 27,576 "," 27,805 "
3.B.1.     Bovinos," 7,790 "," 8,060 "," 8,247 "," 8,233 "," 8,461 "," 8,729 "," 8,508 "," 8,636 "," 8,700 "," 8,884 "," 9,311 "," 9,730 "," 9,867 "," 10,443 "," 11,105 "," 11,291 "," 11,406 "," 10,948 "," 11,337 "," 11,713 "," 12,142 "," 11,959 "," 12,179 "," 12,583 "," 12,737 "," 12,825 "," 12,977 "
3.B.1.a.       Bovinos de corte," 5,265 "," 5,434 "," 5,507 "," 5,552 "," 5,697 "," 5,846 "," 5,689 "," 5,793 "," 5,846 "," 5,939 "," 6,219 "," 6,526 "," 6,578 "," 6,988 "," 7,414 "," 7,462 "," 7,413 "," 6,955 "," 7,035 "," 7,213 "," 7,416 "," 7,294 "," 7,345 "," 7,446 "," 7,479 "," 7,687 "," 7,845 "
3.B.1.b.       Bovinos de leite," 2,526 "," 2,625 "," 2,740 "," 2,681 "," 2,764 "," 2,884 "," 2,819 "," 2,843 "," 2,854 "," 2,945 "," 3,093 "," 3,204 "," 3,289 "," 3,455 "," 3,690 "," 3,829 "," 3,993 "," 3,993 "," 4,303 "," 4,500 "," 4,727 "," 4,665 "," 4,834 "," 5,138 "," 5,258 "," 5,138 "," 5,133 "
3.B.2.     Ovinos, 95 , 96 , 96 , 86 , 88 , 87 , 72 , 72 , 70 , 71 , 74 , 74 , 72 , 74 , 76 , 79 , 82 , 83 , 84 , 85 , 88 , 90 , 85 , 88 , 89 , 94 , 95 
3.B.3.     Suínos," 7,871 "," 8,123 "," 8,256 "," 8,088 "," 8,342 "," 8,623 "," 6,401 "," 6,550 "," 6,659 "," 6,898 "," 7,120 "," 7,565 "," 7,371 "," 7,610 "," 7,693 "," 7,828 "," 8,072 "," 8,033 "," 8,179 "," 8,384 "," 8,613 "," 10,712 "," 10,601 "," 10,038 "," 10,361 "," 11,040 "," 11,127 "
3.B.4.     Outros animais," 1,012 "," 1,064 "," 1,101 "," 1,101 "," 1,129 "," 1,164 "," 1,045 "," 1,073 "," 1,081 "," 1,116 "," 1,153 "," 1,184 "," 1,178 "," 1,211 "," 1,231 "," 1,278 "," 1,288 "," 1,354 "," 1,407 "," 1,423 "," 1,437 "," 1,465 "," 1,433 "," 1,439 "," 1,504 "," 1,515 "," 1,526 "
3.B.5.     Emissões indiretas de N2O," 1,049 "," 1,113 "," 1,153 "," 1,160 "," 1,203 "," 1,242 "," 1,123 "," 1,151 "," 1,159 "," 1,213 "," 1,294 "," 1,309 "," 1,303 "," 1,345 "," 1,419 "," 1,474 "," 1,515 "," 1,607 "," 1,684 "," 1,772 "," 1,811 "," 1,987 "," 1,988 "," 2,016 "," 2,088 "," 2,102 "," 2,080 "
3.B.5.a.       Bovinos, 317 , 327 , 336 , 337 , 351 , 372 , 322 , 341 , 336 , 347 , 379 , 377 , 382 , 393 , 431 , 427 , 436 , 459 , 464 , 507 , 510 , 559 , 590 , 636 , 629 , 603 , 577 
