"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3. Agropecuária," 119,537 "," 121,892 "," 123,328 "," 126,829 "," 130,266 "," 128,482 "," 123,229 "," 127,118 "," 129,427 "," 130,605 "," 137,298 "," 141,528 "," 147,956 "," 161,300 "," 166,171 "," 162,928 "," 163,744 "," 166,533 "," 169,605 "," 169,824 "," 178,403 "," 184,427 "," 185,568 "," 189,429 "," 192,948 "," 191,412 "," 198,043 "
3.A.   Fermentação Entérica," 40,713 "," 41,995 "," 42,586 "," 42,892 "," 43,636 "," 44,452 "," 41,667 "," 42,394 "," 43,040 "," 43,455 "," 44,889 "," 46,851 "," 47,631 "," 50,148 "," 52,450 "," 52,975 "," 52,712 "," 49,752 "," 50,579 "," 51,499 "," 53,001 "," 52,025 "," 51,774 "," 51,861 "," 52,056 "," 53,032 "," 53,850 "
3.A.1.     Bovinos," 39,053 "," 40,312 "," 40,899 "," 41,264 "," 41,971 "," 42,761 "," 40,365 "," 41,089 "," 41,724 "," 42,114 "," 43,514 "," 45,469 "," 46,266 "," 48,762 "," 51,047 "," 51,543 "," 51,272 "," 48,341 "," 49,163 "," 50,089 "," 51,562 "," 50,559 "," 50,362 "," 50,434 "," 50,612 "," 51,545 "," 52,349 "
3.A.1.a.       Bovinos de corte," 31,966 "," 32,923 "," 33,305 "," 33,806 "," 34,528 "," 35,122 "," 34,326 "," 34,782 "," 35,333 "," 35,683 "," 36,889 "," 38,718 "," 39,508 "," 41,848 "," 43,851 "," 44,110 "," 43,725 "," 40,893 "," 41,542 "," 42,168 "," 43,442 "," 42,520 "," 42,458 "," 42,440 "," 42,597 "," 44,121 "," 45,402 "
3.A.1.b.       Bovinos de leite," 7,087 "," 7,388 "," 7,594 "," 7,458 "," 7,443 "," 7,638 "," 6,039 "," 6,307 "," 6,391 "," 6,430 "," 6,625 "," 6,751 "," 6,758 "," 6,914 "," 7,196 "," 7,433 "," 7,547 "," 7,448 "," 7,621 "," 7,922 "," 8,120 "," 8,039 "," 7,904 "," 7,994 "," 8,015 "," 7,424 "," 6,947 "
3.A.2.     Ovinos, 401 , 403 , 399 , 361 , 369 , 367 , 295 , 291 , 285 , 288 , 296 , 293 , 286 , 291 , 301 , 312 , 320 , 325 , 333 , 336 , 348 , 353 , 336 , 346 , 352 , 368 , 368 
3.A.3.     Suínos, 135 , 137 , 138 , 137 , 141 , 144 , 117 , 119 , 120 , 123 , 126 , 130 , 128 , 129 , 132 , 136 , 141 , 144 , 147 , 152 , 156 , 157 , 155 , 147 , 152 , 159 , 160 
3.A.4.     Outros animais," 1,124 "," 1,144 "," 1,149 "," 1,131 "," 1,155 "," 1,180 ", 890 , 896 , 910 , 930 , 953 , 958 , 952 , 966 , 969 , 984 , 979 , 942 , 936 , 921 , 935 , 955 , 922 , 934 , 940 , 960 , 973 
3.B.   Manejo de Dejetos Animais," 4,258 "," 4,429 "," 4,540 "," 4,522 "," 4,663 "," 4,822 "," 4,174 "," 4,275 "," 4,315 "," 4,462 "," 4,693 "," 4,840 "," 4,829 "," 5,016 "," 5,254 "," 5,380 "," 5,502 "," 5,571 "," 5,762 "," 6,007 "," 6,173 "," 6,773 "," 6,795 "," 6,829 "," 6,987 "," 7,103 "," 7,079 "
3.B.1.     Bovinos," 1,731 "," 1,789 "," 1,832 "," 1,832 "," 1,882 "," 1,949 "," 1,796 "," 1,846 "," 1,855 "," 1,894 "," 1,996 "," 2,052 "," 2,078 "," 2,176 "," 2,320 "," 2,348 "," 2,381 "," 2,345 "," 2,418 "," 2,528 "," 2,603 "," 2,636 "," 2,700 "," 2,815 "," 2,826 "," 2,792 "," 2,770 "
3.B.1.a.       Bovinos de corte, 803 , 830 , 843 , 848 , 882 , 919 , 910 , 934 , 931 , 955 ," 1,022 "," 1,059 "," 1,070 "," 1,135 "," 1,225 "," 1,223 "," 1,217 "," 1,170 "," 1,176 "," 1,233 "," 1,256 "," 1,280 "," 1,317 "," 1,370 "," 1,371 "," 1,392 "," 1,404 "
3.B.1.b.       Bovinos de leite, 928 , 960 , 989 , 984 , 999 ," 1,030 ", 886 , 912 , 923 , 939 , 974 , 993 ," 1,008 "," 1,042 "," 1,095 "," 1,125 "," 1,164 "," 1,175 "," 1,242 "," 1,295 "," 1,348 "," 1,356 "," 1,383 "," 1,445 "," 1,454 "," 1,401 "," 1,367 "
3.B.2.     Ovinos, 14 , 14 , 14 , 12 , 13 , 12 , 10 , 10 , 10 , 10 , 11 , 11 , 10 , 11 , 11 , 11 , 12 , 12 , 12 , 12 , 13 , 13 , 12 , 13 , 13 , 13 , 14 
3.B.3.     Suínos," 1,375 "," 1,418 "," 1,441 "," 1,417 "," 1,463 "," 1,513 "," 1,143 "," 1,164 "," 1,186 "," 1,236 "," 1,283 "," 1,351 "," 1,321 "," 1,364 "," 1,385 "," 1,419 "," 1,469 "," 1,472 "," 1,503 "," 1,556 "," 1,606 "," 2,010 "," 1,973 "," 1,865 "," 1,926 "," 2,062 "," 2,077 "
3.B.4.     Outros animais, 211 , 225 , 235 , 237 , 243 , 251 , 233 , 239 , 241 , 251 , 261 , 270 , 269 , 277 , 285 , 299 , 303 , 323 , 341 , 347 , 352 , 360 , 354 , 357 , 378 , 380 , 381 
