"N₂O
 (Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3. Agropecuária, 279.30 , 284.96 , 293.53 , 297.11 , 306.62 , 311.96 , 296.56 , 306.82 , 314.99 , 318.63 , 332.56 , 344.97 , 360.07 , 395.48 , 405.71 , 408.30 , 412.94 , 425.66 , 431.33 , 437.97 , 457.60 , 472.42 , 470.26 , 485.66 , 494.53 , 494.66 , 510.46 
3.A.   Fermentação Entérica, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.     Bovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.a.       Bovinos de corte, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.1.b.       Bovinos de leite, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.2.     Ovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.3.     Suínos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.A.4.     Outros animais, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.B.   Manejo de Dejetos Animais, 8.73 , 9.14 , 9.42 , 9.46 , 9.77 , 10.13 , 8.79 , 9.06 , 9.13 , 9.50 , 10.12 , 10.21 , 10.21 , 10.51 , 11.11 , 11.44 , 11.77 , 12.36 , 12.85 , 13.60 , 13.92 , 15.44 , 15.50 , 15.76 , 16.12 , 16.13 , 15.84 
3.B.1.     Bovinos, 3.15 , 3.25 , 3.33 , 3.34 , 3.43 , 3.58 , 2.96 , 3.12 , 3.12 , 3.19 , 3.39 , 3.38 , 3.41 , 3.49 , 3.74 , 3.75 , 3.83 , 3.98 , 4.07 , 4.36 , 4.43 , 4.73 , 4.90 , 5.19 , 5.13 , 4.90 , 4.67 
3.B.1.a.       Bovinos de corte, 0.26 , 0.27 , 0.29 , 0.28 , 0.35 , 0.43 , 0.50 , 0.54 , 0.49 , 0.55 , 0.68 , 0.65 , 0.66 , 0.70 , 0.85 , 0.80 , 0.81 , 0.90 , 0.87 , 1.03 , 1.00 , 1.22 , 1.37 , 1.56 , 1.54 , 1.50 , 1.44 
3.B.1.b.       Bovinos de leite, 2.89 , 2.98 , 3.05 , 3.06 , 3.08 , 3.15 , 2.47 , 2.58 , 2.63 , 2.64 , 2.71 , 2.73 , 2.74 , 2.79 , 2.89 , 2.95 , 3.02 , 3.08 , 3.20 , 3.32 , 3.43 , 3.51 , 3.53 , 3.63 , 3.59 , 3.40 , 3.23 
3.B.2.     Ovinos, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.B.3.     Suínos, 1.28 , 1.31 , 1.33 , 1.33 , 1.38 , 1.43 , 1.16 , 1.17 , 1.19 , 1.28 , 1.36 , 1.38 , 1.37 , 1.41 , 1.46 , 1.53 , 1.61 , 1.65 , 1.71 , 1.83 , 1.91 , 2.45 , 2.34 , 2.20 , 2.27 , 2.47 , 2.49 
3.B.4.     Outros animais, 0.34 , 0.38 , 0.40 , 0.40 , 0.42 , 0.43 , 0.43 , 0.44 , 0.44 , 0.46 , 0.49 , 0.51 , 0.51 , 0.53 , 0.55 , 0.59 , 0.61 , 0.66 , 0.71 , 0.73 , 0.75 , 0.77 , 0.76 , 0.77 , 0.83 , 0.83 , 0.83 
3.B.5.     Emissões indiretas de N2O, 3.96 , 4.20 , 4.35 , 4.38 , 4.54 , 4.69 , 4.24 , 4.34 , 4.37 , 4.58 , 4.88 , 4.94 , 4.92 , 5.08 , 5.35 , 5.56 , 5.72 , 6.07 , 6.35 , 6.69 , 6.83 , 7.50 , 7.50 , 7.61 , 7.88 , 7.93 , 7.85 
3.B.5.a.       Bovinos, 1.20 , 1.23 , 1.27 , 1.27 , 1.32 , 1.41 , 1.21 , 1.29 , 1.27 , 1.31 , 1.43 , 1.42 , 1.44 , 1.48 , 1.63 , 1.61 , 1.64 , 1.73 , 1.75 , 1.91 , 1.93 , 2.11 , 2.23 , 2.40 , 2.37 , 2.27 , 2.18 
3.B.5.a.i.         Bovinos de corte, 0.18 , 0.19 , 0.20 , 0.20 , 0.25 , 0.30 , 0.35 , 0.38 , 0.35 , 0.39 , 0.48 , 0.47 , 0.48 , 0.51 , 0.61 , 0.58 , 0.59 , 0.65 , 0.63 , 0.75 , 0.73 , 0.88 , 0.99 , 1.13 , 1.12 , 1.09 , 1.05 
3.B.5.a.ii.          Bovinos de leite, 1.01 , 1.04 , 1.07 , 1.07 , 1.08 , 1.10 , 0.86 , 0.90 , 0.92 , 0.92 , 0.95 , 0.96 , 0.96 , 0.98 , 1.01 , 1.03 , 1.06 , 1.08 , 1.12 , 1.16 , 1.20 , 1.23 , 1.24 , 1.27 , 1.26 , 1.19 , 1.13 
3.B.5.b.       Suínos , 1.15 , 1.18 , 1.20 , 1.20 , 1.25 , 1.29 , 1.06 , 1.06 , 1.08 , 1.15 , 1.23 , 1.19 , 1.18 , 1.21 , 1.25 , 1.31 , 1.38 , 1.41 , 1.45 , 1.55 , 1.61 , 2.02 , 1.92 , 1.80 , 1.86 , 2.01 , 2.03 
3.B.5.c.vii.           Aves, 1.61 , 1.78 , 1.88 , 1.90 , 1.97 , 1.99 , 1.97 , 2.00 , 2.02 , 2.11 , 2.23 , 2.32 , 2.30 , 2.38 , 2.48 , 2.64 , 2.70 , 2.93 , 3.15 , 3.22 , 3.29 , 3.37 , 3.35 , 3.40 , 3.64 , 3.64 , 3.64 
3.C.   Cultivo de Arroz, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
3.D.   Solos Manejados, 267.78 , 273.06 , 281.27 , 285.11 , 293.83 , 298.70 , 284.70 , 294.69 , 302.71 , 306.14 , 319.67 , 331.81 , 346.72 , 381.50 , 391.01 , 393.26 , 397.31 , 409.07 , 414.38 , 420.78 , 440.51 , 454.38 , 452.65 , 468.00 , 476.77 , 477.53 , 493.76 
3.D.1.     Emissões diretas, 208.98 , 213.00 , 219.38 , 221.94 , 228.67 , 232.57 , 221.63 , 229.25 , 235.16 , 237.91 , 248.53 , 258.11 , 269.62 , 296.25 , 303.51 , 305.08 , 308.23 , 316.74 , 321.32 , 326.11 , 341.08 , 350.92 , 349.81 , 361.37 , 367.69 , 369.38 , 379.97 
3.D.1.a.       Fertilizantes sintéticos, 11.73 , 11.68 , 12.94 , 15.23 , 17.77 , 17.10 , 18.18 , 19.87 , 22.25 , 21.16 , 25.51 , 25.06 , 27.80 , 34.21 , 34.48 , 33.82 , 35.31 , 42.60 , 38.51 , 39.32 , 44.05 , 52.02 , 53.69 , 57.29 , 60.00 , 54.66 , 67.80 
3.D.1.b.       Adubos orgânicos, 8.06 , 8.26 , 8.74 , 8.68 , 8.80 , 9.54 , 8.81 , 9.36 , 9.62 , 9.83 , 10.16 , 9.79 , 10.12 , 10.73 , 11.64 , 12.21 , 12.47 , 13.56 , 14.82 , 16.19 , 16.20 , 16.83 , 15.80 , 16.10 , 17.11 , 17.19 , 17.24 
3.D.1.c.       Deposição de dejetos em pastagem, 135.21 , 139.44 , 141.37 , 141.38 , 143.36 , 145.97 , 136.39 , 138.91 , 141.07 , 142.43 , 146.86 , 153.02 , 160.22 , 167.87 , 174.77 , 176.99 , 176.34 , 171.76 , 174.20 , 177.79 , 182.91 , 184.14 , 182.50 , 182.25 , 183.26 , 185.02 , 186.83 
3.D.1.c.i.         Bovinos, 121.23 , 125.30 , 127.23 , 127.77 , 129.53 , 131.96 , 125.71 , 128.19 , 130.30 , 131.45 , 135.63 , 141.75 , 149.07 , 156.70 , 163.48 , 165.48 , 164.89 , 160.70 , 163.20 , 166.90 , 171.85 , 172.99 , 171.85 , 171.56 , 172.46 , 173.96 , 175.72 
3.D.1.c.i.1.           Bovinos de corte, 87.61 , 90.23 , 91.26 , 92.53 , 94.40 , 95.91 , 97.17 , 98.28 , 100.00 , 100.95 , 104.25 , 109.82 , 115.99 , 122.78 , 128.18 , 129.07 , 127.97 , 123.51 , 125.25 , 127.45 , 131.58 , 132.24 , 131.96 , 131.50 , 132.19 , 137.19 , 141.54 
