"CO₂e (GWP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia," 196,118 "," 199,710 "," 204,745 "," 208,970 "," 217,730 "," 233,681 "," 250,762 "," 266,950 "," 274,490 "," 284,211 "," 290,986 "," 299,293 "," 298,076 "," 290,716 "," 306,898 "," 317,209 "," 321,676 "," 334,785 "," 354,484 "," 342,982 "," 377,818 "," 392,539 "," 425,468 "," 456,625 "," 483,998 "," 458,742 "," 426,279 "
1.A.   Atividades de Queima de Combustíveis (abordagem setorial)," 187,159 "," 190,790 "," 195,910 "," 199,942 "," 208,450 "," 224,471 "," 241,291 "," 256,599 "," 263,173 "," 272,127 "," 277,900 "," 285,309 "," 284,045 "," 277,575 "," 293,443 "," 298,578 "," 304,813 "," 317,748 "," 336,753 "," 319,418 "," 359,148 "," 374,895 "," 406,557 "," 437,188 "," 462,801 "," 437,717 "," 404,903 "
1.A.1.     Indústrias de Energia," 25,307 "," 23,434 "," 25,211 "," 25,280 "," 26,501 "," 27,712 "," 29,738 "," 32,919 "," 33,485 "," 39,689 "," 41,091 "," 44,535 "," 39,171 "," 39,603 "," 45,451 "," 47,333 "," 47,420 "," 47,323 "," 56,925 "," 47,045 "," 58,601 "," 53,288 "," 68,193 "," 91,549 "," 109,271 "," 103,918 "," 78,881 "
1.A.1.a.       Produção de eletricidade e calor como atividade principal," 6,263 "," 7,178 "," 7,840 "," 6,879 "," 7,536 "," 9,122 "," 10,159 "," 11,996 "," 12,482 "," 19,286 "," 19,139 "," 21,687 "," 17,197 "," 16,128 "," 20,370 "," 20,993 "," 20,742 "," 19,432 "," 26,584 "," 16,595 "," 26,695 "," 20,026 "," 35,057 "," 55,558 "," 70,141 "," 65,623 "," 42,859 "
1.A.1.b.       Refino de petróleo," 11,995 "," 10,063 "," 10,271 "," 11,469 "," 12,190 "," 11,586 "," 12,351 "," 13,497 "," 13,867 "," 13,680 "," 14,235 "," 14,888 "," 14,591 "," 14,954 "," 15,645 "," 17,014 "," 16,660 "," 17,555 "," 18,140 "," 17,913 "," 15,881 "," 16,279 "," 16,258 "," 18,422 "," 19,443 "," 18,588 "," 17,174 "
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia," 7,049 "," 6,193 "," 7,100 "," 6,932 "," 6,775 "," 7,004 "," 7,228 "," 7,427 "," 7,136 "," 6,723 "," 7,717 "," 7,960 "," 7,383 "," 8,521 "," 9,435 "," 9,326 "," 10,018 "," 10,336 "," 12,200 "," 12,537 "," 16,025 "," 16,984 "," 16,878 "," 17,569 "," 19,687 "," 19,707 "," 18,848 "
1.A.2.     Indústrias de Transformação e Construção," 37,633 "," 39,563 "," 41,052 "," 41,761 "," 43,061 "," 46,482 "," 52,071 "," 54,952 "," 55,852 "," 59,679 "," 63,297 "," 62,747 "," 63,603 "," 61,287 "," 62,409 "," 65,396 "," 66,690 "," 72,574 "," 74,009 "," 69,882 "," 78,269 "," 84,287 "," 83,025 "," 83,462 "," 84,293 "," 80,188 "," 75,024 "
1.A.2.a.       Ferro e aço," 4,737 "," 4,960 "," 5,466 "," 5,793 "," 5,782 "," 5,778 "," 5,866 "," 5,741 "," 5,365 "," 5,357 "," 5,677 "," 5,635 "," 6,103 "," 6,254 "," 6,578 "," 6,897 "," 6,889 "," 7,612 "," 8,102 "," 6,190 "," 7,325 "," 7,203 "," 7,286 "," 7,128 "," 7,574 "," 7,260 "," 6,842 "
1.A.2.b.       Metais não ferrosos," 1,381 "," 1,336 "," 1,445 "," 1,674 "," 1,648 "," 1,945 "," 2,840 "," 2,894 "," 3,332 "," 3,870 "," 4,266 "," 3,988 "," 4,190 "," 5,009 "," 5,276 "," 5,414 "," 5,641 "," 6,015 "," 5,678 "," 4,676 "," 8,563 "," 9,580 "," 9,554 "," 9,598 "," 9,990 "," 8,996 "," 8,977 "
1.A.2.c.       Produtos quimicos," 8,987 "," 9,614 "," 10,407 "," 9,719 "," 10,053 "," 11,135 "," 12,852 "," 14,620 "," 13,390 "," 14,641 "," 15,072 "," 15,146 "," 15,412 "," 14,680 "," 15,509 "," 15,310 "," 16,013 "," 16,319 "," 15,641 "," 15,573 "," 14,307 "," 15,674 "," 15,390 "," 14,700 "," 14,090 "," 14,477 "," 14,122 "
"1.A.2.d.       Celulose, papel e impressão"," 2,698 "," 2,968 "," 3,498 "," 3,376 "," 3,488 "," 3,991 "," 4,639 "," 4,321 "," 4,629 "," 4,932 "," 4,968 "," 4,800 "," 5,005 "," 4,721 "," 4,482 "," 4,853 "," 4,296 "," 4,402 "," 4,788 "," 4,392 "," 4,812 "," 4,911 "," 4,874 "," 4,868 "," 5,244 "," 4,969 "," 5,332 "
"1.A.2.e.       Processamento de alimentos, bebidas e tabaco"," 3,843 "," 3,859 "," 4,212 "," 4,290 "," 4,434 "," 4,885 "," 5,383 "," 5,016 "," 5,313 "," 5,471 "," 5,360 "," 5,496 "," 5,525 "," 5,501 "," 5,369 "," 5,382 "," 5,159 "," 5,665 "," 5,676 "," 5,710 "," 6,308 "," 6,222 "," 6,326 "," 6,145 "," 6,114 "," 6,064 "," 6,083 "
1.A.2.f.       Minerais não metálicos," 7,802 "," 8,660 "," 7,660 "," 7,911 "," 7,890 "," 8,945 "," 10,074 "," 11,661 "," 12,725 "," 13,372 "," 13,979 "," 14,404 "," 13,928 "," 12,520 "," 11,915 "," 13,181 "," 14,102 "," 15,918 "," 17,385 "," 18,561 "," 20,000 "," 22,640 "," 22,676 "," 23,481 "," 23,653 "," 21,356 "," 19,325 "
1.A.2.g.       Equipamentos de transporte," 4,086 "," 4,166 "," 4,102 "," 4,497 "," 4,910 "," 5,070 "," 5,066 "," 5,625 "," 5,847 "," 6,197 "," 7,088 "," 6,601 "," 6,520 "," 5,895 "," 6,055 "," 6,250 "," 6,246 "," 7,076 "," 7,899 "," 8,006 "," 8,274 "," 9,039 "," 8,268 "," 8,878 "," 8,947 "," 8,550 "," 7,765 "
1.A.2.i.       Mineração (exceto combustíveis) e extração," 2,458 "," 2,433 "," 2,697 "," 2,842 "," 3,458 "," 3,363 "," 3,855 "," 3,779 "," 3,943 "," 4,640 "," 5,555 "," 5,455 "," 5,623 "," 5,607 "," 6,026 "," 6,917 "," 7,149 "," 8,242 "," 7,652 "," 5,640 "," 7,613 "," 7,930 "," 7,619 "," 7,639 "," 7,820 "," 7,792 "," 5,925 "
1.A.2.l.       Têxtil e couro," 1,639 "," 1,566 "," 1,566 "," 1,660 "," 1,397 "," 1,371 "," 1,495 "," 1,295 "," 1,309 "," 1,199 "," 1,332 "," 1,222 "," 1,296 "," 1,099 "," 1,201 "," 1,194 "," 1,193 "," 1,323 "," 1,188 "," 1,133 "," 1,068 "," 1,089 "," 1,032 "," 1,024 ", 861 , 724 , 655 
1.A.3.     Transporte," 85,195 "," 89,096 "," 89,805 "," 93,039 "," 97,492 "," 107,780 "," 116,360 "," 123,300 "," 129,562 "," 126,862 "," 127,838 "," 130,308 "," 133,165 "," 130,650 "," 139,030 "," 139,359 "," 144,042 "," 150,040 "," 155,627 "," 154,194 "," 173,812 "," 190,041 "," 207,211 "," 214,678 "," 220,231 "," 204,851 "," 205,625 "
1.A.3.a.ii.          Aviação doméstica," 5,189 "," 5,430 "," 5,104 "," 5,390 "," 5,533 "," 6,423 "," 6,857 "," 7,717 "," 8,456 "," 7,883 "," 8,388 "," 8,624 "," 8,261 "," 5,911 "," 6,307 "," 5,931 "," 6,194 "," 6,743 "," 6,668 "," 7,825 "," 9,223 "," 10,509 "," 10,692 "," 10,261 "," 10,355 "," 10,482 "," 9,803 "
1.A.3.b.       Transporte rodoviário," 74,679 "," 78,499 "," 79,322 "," 81,765 "," 86,921 "," 96,279 "," 103,641 "," 111,225 "," 116,448 "," 114,246 "," 115,080 "," 116,814 "," 119,189 "," 119,318 "," 126,516 "," 126,974 "," 131,215 "," 135,651 "," 140,887 "," 138,701 "," 155,778 "," 171,215 "," 187,933 "," 195,058 "," 199,776 "," 186,317 "," 188,120 "
1.A.3.c.       Transporte Ferroviário," 1,810 "," 1,799 "," 1,848 "," 1,878 "," 1,407 "," 1,508 "," 1,389 "," 1,127 "," 1,198 "," 1,197 "," 1,381 "," 1,566 "," 2,369 "," 2,338 "," 2,665 "," 2,821 "," 3,124 "," 3,325 "," 3,380 "," 3,276 "," 3,244 "," 3,273 "," 3,357 "," 3,330 "," 3,266 "," 3,111 "," 3,051 "
1.A.3.d.ii.          Navegação doméstica," 3,517 "," 3,369 "," 3,531 "," 4,006 "," 3,631 "," 3,570 "," 4,473 "," 3,231 "," 3,459 "," 3,537 "," 2,989 "," 3,305 "," 3,347 "," 3,083 "," 3,542 "," 3,632 "," 3,509 "," 4,321 "," 4,692 "," 4,392 "," 4,456 "," 4,279 "," 4,193 "," 4,198 "," 4,809 "," 3,122 "," 2,389 "
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,111 ", 764 ," 1,036 "," 1,831 "," 2,026 "," 1,819 "," 2,262 "
1.A.4.     Outros Setores," 37,405 "," 37,954 "," 38,714 "," 39,122 "," 40,645 "," 41,619 "," 42,190 "," 43,087 "," 42,938 "," 44,818 "," 44,513 "," 46,517 "," 46,959 "," 45,259 "," 45,719 "," 45,338 "," 45,564 "," 46,621 "," 48,304 "," 47,114 "," 47,314 "," 46,357 "," 46,911 "," 46,435 "," 47,763 "," 48,041 "," 44,674 "
1.A.4.a.       Comercial / institucional," 2,732 "," 2,599 "," 2,626 "," 2,581 "," 3,694 "," 3,805 "," 3,266 "," 3,497 "," 3,811 "," 4,522 "," 4,461 "," 4,673 "," 4,996 "," 3,956 "," 4,126 "," 3,890 "," 3,884 "," 4,100 "," 3,941 "," 3,433 "," 2,922 "," 3,181 "," 3,006 "," 2,961 "," 3,081 "," 2,911 "," 2,883 "
1.A.4.b.       Residencial," 23,746 "," 24,082 "," 24,588 "," 23,929 "," 23,668 "," 23,599 "," 24,108 "," 24,220 "," 24,453 "," 25,039 "," 25,268 "," 25,653 "," 26,079 "," 25,292 "," 25,761 "," 25,684 "," 25,753 "," 25,715 "," 26,002 "," 26,018 "," 26,206 "," 25,516 "," 25,587 "," 25,087 "," 25,559 "," 25,845 "," 25,697 "
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura," 10,927 "," 11,273 "," 11,500 "," 12,612 "," 13,283 "," 14,215 "," 14,816 "," 15,371 "," 14,674 "," 15,257 "," 14,784 "," 16,191 "," 15,885 "," 16,011 "," 15,833 "," 15,764 "," 15,926 "," 16,806 "," 18,360 "," 17,663 "," 18,186 "," 17,660 "," 18,318 "," 18,388 "," 19,122 "," 19,284 "," 16,093 "
1.A.5.     Não Especificado," 1,620 ", 744 ," 1,127 ", 740 , 751 , 877 , 932 ," 2,342 "," 1,335 "," 1,078 "," 1,161 "," 1,201 "," 1,146 ", 776 , 834 ," 1,152 "," 1,096 "," 1,191 "," 1,888 "," 1,183 "," 1,152 ", 921 ," 1,218 "," 1,064 "," 1,243 ", 719 , 698 
