"CO₂e (GTP AR5)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia," 182,643 "," 186,178 "," 191,575 "," 196,693 "," 205,585 "," 222,086 "," 239,417 "," 255,256 "," 262,593 "," 272,029 "," 278,508 "," 286,133 "," 284,225 "," 277,077 "," 292,268 "," 300,642 "," 305,798 "," 319,223 "," 338,718 "," 326,087 "," 362,290 "," 378,157 "," 410,690 "," 442,392 "," 469,341 "," 443,863 "," 411,890 "
1.A.   Atividades de Queima de Combustíveis (abordagem setorial)," 175,928 "," 179,596 "," 184,850 "," 189,862 "," 198,444 "," 215,010 "," 231,837 "," 247,075 "," 253,620 "," 262,499 "," 268,402 "," 275,579 "," 273,445 "," 266,542 "," 282,111 "," 287,064 "," 293,178 "," 306,309 "," 325,221 "," 308,305 "," 348,022 "," 364,559 "," 396,170 "," 427,387 "," 452,605 "," 427,371 "," 394,976 "
1.A.1.     Indústrias de Energia," 24,605 "," 22,758 "," 24,572 "," 24,632 "," 25,822 "," 27,075 "," 29,120 "," 32,274 "," 32,906 "," 39,108 "," 40,525 "," 43,972 "," 38,574 "," 38,929 "," 44,683 "," 46,547 "," 46,613 "," 46,446 "," 55,928 "," 46,239 "," 57,707 "," 52,469 "," 67,320 "," 90,580 "," 108,262 "," 102,885 "," 77,949 "
1.A.1.a.       Produção de eletricidade e calor como atividade principal," 6,259 "," 7,174 "," 7,835 "," 6,874 "," 7,531 "," 9,116 "," 10,153 "," 11,987 "," 12,472 "," 19,272 "," 19,126 "," 21,668 "," 17,178 "," 16,109 "," 20,343 "," 20,966 "," 20,716 "," 19,411 "," 26,548 "," 16,577 "," 26,656 "," 19,999 "," 35,004 "," 55,474 "," 70,037 "," 65,526 "," 42,799 "
1.A.1.b.       Refino de petróleo," 11,988 "," 10,057 "," 10,265 "," 11,462 "," 12,182 "," 11,578 "," 12,342 "," 13,487 "," 13,857 "," 13,670 "," 14,224 "," 14,875 "," 14,578 "," 14,941 "," 15,632 "," 17,000 "," 16,645 "," 17,540 "," 18,124 "," 17,897 "," 15,867 "," 16,265 "," 16,245 "," 18,406 "," 19,427 "," 18,572 "," 17,160 "
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia," 6,358 "," 5,528 "," 6,472 "," 6,296 "," 6,109 "," 6,381 "," 6,625 "," 6,800 "," 6,577 "," 6,166 "," 7,176 "," 7,428 "," 6,817 "," 7,880 "," 8,709 "," 8,581 "," 9,251 "," 9,495 "," 11,256 "," 11,765 "," 15,184 "," 16,205 "," 16,072 "," 16,701 "," 18,798 "," 18,786 "," 17,990 "
1.A.2.     Indústrias de Transformação e Construção," 37,158 "," 39,109 "," 40,591 "," 41,292 "," 42,531 "," 45,943 "," 51,501 "," 54,372 "," 55,227 "," 59,019 "," 62,695 "," 62,074 "," 62,877 "," 60,479 "," 61,563 "," 64,530 "," 65,733 "," 71,567 "," 73,006 "," 68,888 "," 77,169 "," 83,161 "," 81,898 "," 82,354 "," 83,225 "," 79,155 "," 73,940 "
1.A.2.a.       Ferro e aço," 4,732 "," 4,955 "," 5,459 "," 5,785 "," 5,775 "," 5,771 "," 5,860 "," 5,735 "," 5,359 "," 5,350 "," 5,670 "," 5,629 "," 6,096 "," 6,246 "," 6,569 "," 6,888 "," 6,880 "," 7,602 "," 8,090 "," 6,182 "," 7,314 "," 7,192 "," 7,274 "," 7,117 "," 7,560 "," 7,248 "," 6,831 "
1.A.2.b.       Metais não ferrosos," 1,379 "," 1,334 "," 1,443 "," 1,672 "," 1,645 "," 1,942 "," 2,837 "," 2,891 "," 3,328 "," 3,866 "," 4,261 "," 3,984 "," 4,186 "," 5,005 "," 5,271 "," 5,409 "," 5,636 "," 6,010 "," 5,673 "," 4,672 "," 8,557 "," 9,573 "," 9,547 "," 9,591 "," 9,983 "," 8,989 "," 8,970 "
1.A.2.c.       Produtos quimicos," 8,964 "," 9,591 "," 10,385 "," 9,697 "," 10,030 "," 11,111 "," 12,830 "," 14,594 "," 13,364 "," 14,612 "," 15,038 "," 15,109 "," 15,368 "," 14,629 "," 15,446 "," 15,245 "," 15,947 "," 16,251 "," 15,573 "," 15,504 "," 14,240 "," 15,603 "," 15,324 "," 14,639 "," 14,030 "," 14,412 "," 14,059 "
"1.A.2.d.       Celulose, papel e impressão"," 2,657 "," 2,926 "," 3,452 "," 3,328 "," 3,439 "," 3,942 "," 4,592 "," 4,274 "," 4,573 "," 4,875 "," 4,908 "," 4,737 "," 4,941 "," 4,651 "," 4,411 "," 4,776 "," 4,215 "," 4,316 "," 4,698 "," 4,298 "," 4,710 "," 4,810 "," 4,778 "," 4,766 "," 5,143 "," 4,862 "," 5,219 "
