"CO₂ 
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia," 177,046 "," 180,564 "," 186,066 "," 191,351 "," 200,128 "," 216,613 "," 233,816 "," 249,335 "," 256,470 "," 265,728 "," 272,173 "," 279,460 "," 277,150 "," 269,839 "," 284,503 "," 292,351 "," 297,469 "," 310,634 "," 329,701 "," 317,026 "," 352,903 "," 368,824 "," 400,894 "," 432,346 "," 458,908 "," 433,397 "," 401,690 "
1.A.   Atividades de Queima de Combustíveis (abordagem setorial)," 170,855 "," 174,530 "," 179,832 "," 185,032 "," 193,483 "," 210,030 "," 226,662 "," 241,647 "," 248,026 "," 256,773 "," 262,738 "," 269,687 "," 267,097 "," 259,898 "," 275,107 "," 279,894 "," 285,827 "," 298,680 "," 317,169 "," 300,476 "," 339,596 "," 356,153 "," 387,400 "," 418,400 "," 443,238 "," 418,006 "," 385,850 "
1.A.1.     Indústrias de Energia," 23,706 "," 21,893 "," 23,753 "," 23,802 "," 24,953 "," 26,255 "," 28,322 "," 31,438 "," 32,153 "," 38,347 "," 39,781 "," 43,224 "," 37,786 "," 38,047 "," 43,676 "," 45,514 "," 45,552 "," 45,302 "," 54,625 "," 45,188 "," 56,526 "," 51,394 "," 66,158 "," 89,266 "," 106,878 "," 101,474 "," 76,693 "
1.A.1.a.       Produção de eletricidade e calor como atividade principal," 6,248 "," 7,161 "," 7,821 "," 6,862 "," 7,518 "," 9,099 "," 10,135 "," 11,966 "," 12,450 "," 19,238 "," 19,092 "," 21,623 "," 17,136 "," 16,068 "," 20,285 "," 20,909 "," 20,658 "," 19,364 "," 26,472 "," 16,536 "," 26,577 "," 19,941 "," 34,894 "," 55,296 "," 69,818 "," 65,319 "," 42,663 "
1.A.1.b.       Refino de petróleo," 11,968 "," 10,039 "," 10,247 "," 11,443 "," 12,162 "," 11,558 "," 12,319 "," 13,460 "," 13,829 "," 13,641 "," 14,194 "," 14,842 "," 14,543 "," 14,904 "," 15,594 "," 16,960 "," 16,605 "," 17,500 "," 18,081 "," 17,855 "," 15,827 "," 16,229 "," 16,209 "," 18,362 "," 19,383 "," 18,529 "," 17,121 "
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia," 5,490 "," 4,693 "," 5,685 "," 5,497 "," 5,273 "," 5,599 "," 5,868 "," 6,012 "," 5,874 "," 5,467 "," 6,495 "," 6,759 "," 6,106 "," 7,075 "," 7,797 "," 7,646 "," 8,288 "," 8,439 "," 10,072 "," 10,796 "," 14,122 "," 15,224 "," 15,055 "," 15,607 "," 17,677 "," 17,626 "," 16,909 "
1.A.2.     Indústrias de Transformação e Construção," 36,470 "," 38,428 "," 39,897 "," 40,582 "," 41,744 "," 45,149 "," 50,684 "," 53,525 "," 54,305 "," 58,045 "," 61,798 "," 61,093 "," 61,835 "," 59,338 "," 60,378 "," 63,308 "," 64,389 "," 70,142 "," 71,573 "," 67,430 "," 75,552 "," 81,528 "," 80,256 "," 80,720 "," 81,628 "," 77,598 "," 72,312 "
1.A.2.a.       Ferro e aço," 4,725 "," 4,946 "," 5,449 "," 5,774 "," 5,766 "," 5,763 "," 5,852 "," 5,726 "," 5,350 "," 5,341 "," 5,660 "," 5,619 "," 6,084 "," 6,235 "," 6,556 "," 6,876 "," 6,868 "," 7,588 "," 8,073 "," 6,168 "," 7,299 "," 7,177 "," 7,258 "," 7,100 "," 7,540 "," 7,231 "," 6,816 "
1.A.2.b.       Metais não ferrosos," 1,374 "," 1,330 "," 1,438 "," 1,667 "," 1,640 "," 1,936 "," 2,832 "," 2,886 "," 3,322 "," 3,859 "," 4,254 "," 3,977 "," 4,179 "," 4,997 "," 5,264 "," 5,402 "," 5,628 "," 6,001 "," 5,665 "," 4,665 "," 8,544 "," 9,559 "," 9,533 "," 9,578 "," 9,968 "," 8,976 "," 8,956 "
1.A.2.c.       Produtos quimicos," 8,932 "," 9,560 "," 10,356 "," 9,667 "," 9,998 "," 11,080 "," 12,800 "," 14,562 "," 13,332 "," 14,577 "," 15,001 "," 15,070 "," 15,326 "," 14,584 "," 15,395 "," 15,192 "," 15,892 "," 16,194 "," 15,519 "," 15,448 "," 14,187 "," 15,548 "," 15,270 "," 14,588 "," 13,980 "," 14,360 "," 14,008 "
"1.A.2.d.       Celulose, papel e impressão"," 2,551 "," 2,822 "," 3,334 "," 3,202 "," 3,308 "," 3,811 "," 4,468 "," 4,149 "," 4,425 "," 4,720 "," 4,746 "," 4,575 "," 4,772 "," 4,466 "," 4,219 "," 4,572 "," 3,997 "," 4,085 "," 4,449 "," 4,042 "," 4,434 "," 4,534 "," 4,507 "," 4,480 "," 4,847 "," 4,546 "," 4,886 "
"1.A.2.e.       Processamento de alimentos, bebidas e tabaco"," 3,273 "," 3,283 "," 3,586 "," 3,665 "," 3,694 "," 4,132 "," 4,603 "," 4,179 "," 4,377 "," 4,469 "," 4,530 "," 4,501 "," 4,425 "," 4,278 "," 4,119 "," 4,102 "," 3,704 "," 4,120 "," 4,187 "," 4,142 "," 4,548 "," 4,488 "," 4,562 "," 4,439 "," 4,497 "," 4,505 "," 4,373 "
1.A.2.f.       Minerais não metálicos," 7,543 "," 8,430 "," 7,460 "," 7,696 "," 7,665 "," 8,716 "," 9,807 "," 11,420 "," 12,495 "," 13,140 "," 13,735 "," 14,172 "," 13,708 "," 12,286 "," 11,663 "," 12,926 "," 13,837 "," 15,647 "," 17,079 "," 18,312 "," 19,727 "," 22,314 "," 22,350 "," 23,141 "," 23,313 "," 21,056 "," 19,055 "
1.A.2.g.       Equipamentos de transporte," 4,012 "," 4,092 "," 4,044 "," 4,435 "," 4,844 "," 5,002 "," 5,000 "," 5,557 "," 5,779 "," 6,130 "," 7,017 "," 6,534 "," 6,454 "," 5,818 "," 5,974 "," 6,169 "," 6,164 "," 6,989 "," 7,805 "," 7,913 "," 8,172 "," 8,933 "," 8,164 "," 8,771 "," 8,840 "," 8,448 "," 7,669 "
1.A.2.i.       Mineração (exceto combustíveis) e extração," 2,440 "," 2,415 "," 2,678 "," 2,831 "," 3,445 "," 3,352 "," 3,841 "," 3,765 "," 3,929 "," 4,623 "," 5,535 "," 5,435 "," 5,602 "," 5,586 "," 6,002 "," 6,889 "," 7,120 "," 8,210 "," 7,622 "," 5,619 "," 7,585 "," 7,901 "," 7,591 "," 7,611 "," 7,792 "," 7,763 "," 5,904 "
1.A.2.l.       Têxtil e couro," 1,620 "," 1,549 "," 1,552 "," 1,645 "," 1,383 "," 1,357 "," 1,481 "," 1,282 "," 1,297 "," 1,187 "," 1,319 "," 1,210 "," 1,284 "," 1,086 "," 1,187 "," 1,181 "," 1,180 "," 1,309 "," 1,174 "," 1,121 "," 1,055 "," 1,076 "," 1,021 "," 1,012 ", 850 , 714 , 645 
