"CH₄ 
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia, 543.3 , 545.7 , 530.8 , 493.7 , 487.4 , 463.9 , 452.3 , 465.5 , 473.0 , 484.2 , 496.7 , 524.1 , 551.1 , 541.0 , 580.6 , 660.4 , 630.8 , 615.9 , 622.1 , 669.8 , 609.6 , 561.3 , 575.8 , 551.3 , 567.1 , 576.5 , 557.1 
1.A.   Atividades de Queima de Combustíveis (abordagem setorial), 449.9 , 448.4 , 442.9 , 402.2 , 398.3 , 375.0 , 373.6 , 375.2 , 375.5 , 377.9 , 372.7 , 381.3 , 415.8 , 432.6 , 443.3 , 450.1 , 454.2 , 444.4 , 445.9 , 429.3 , 426.5 , 392.9 , 393.1 , 366.9 , 381.5 , 387.9 , 371.5 
1.A.1.     Indústrias de Energia, 24.9 , 23.9 , 22.6 , 22.9 , 24.0 , 22.5 , 21.8 , 22.8 , 20.4 , 20.5 , 19.9 , 19.8 , 21.0 , 23.7 , 27.0 , 27.7 , 28.4 , 30.9 , 35.1 , 28.4 , 31.4 , 28.8 , 30.6 , 33.9 , 35.2 , 36.1 , 32.6 
1.A.1.a.       Produção de eletricidade e calor como atividade principal, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.3 , 0.4 , 0.4 , 0.5 , 0.6 , 0.6 , 0.8 , 0.8 , 0.8 , 0.6 , 1.1 , 0.6 , 1.2 , 0.8 , 1.7 , 2.6 , 3.2 , 3.0 , 1.8 
1.A.1.b.       Refino de petróleo, 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.4 , 0.5 , 0.4 , 0.4 , 0.4 
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia, 24.6 , 23.6 , 22.3 , 22.6 , 23.7 , 22.1 , 21.4 , 22.3 , 19.9 , 19.8 , 19.2 , 18.9 , 20.1 , 22.8 , 25.8 , 26.5 , 27.2 , 29.9 , 33.6 , 27.4 , 29.9 , 27.6 , 28.6 , 30.8 , 31.6 , 32.7 , 30.4 
1.A.2.     Indústrias de Transformação e Construção, 16.3 , 15.5 , 15.8 , 16.0 , 18.1 , 18.5 , 19.7 , 19.9 , 21.4 , 22.6 , 20.6 , 23.1 , 25.1 , 28.0 , 29.4 , 30.0 , 33.2 , 34.9 , 34.7 , 34.1 , 37.7 , 38.8 , 38.7 , 38.0 , 36.5 , 35.2 , 37.0 
1.A.2.a.       Ferro e aço, 0.2 , 0.2 , 0.2 , 0.3 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.3 , 0.4 , 0.3 , 0.3 , 0.4 , 0.4 , 0.4 , 0.5 , 0.4 , 0.4 
1.A.2.b.       Metais não ferrosos, 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.1 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 , 0.2 
1.A.2.c.       Produtos quimicos, 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.9 , 1.0 , 1.1 , 1.2 , 1.4 , 1.7 , 1.9 , 2.4 , 2.5 , 2.5 , 2.6 , 2.6 , 2.6 , 2.6 , 2.7 , 2.5 , 2.3 , 2.3 , 2.5 , 2.4 
"1.A.2.d.       Celulose, papel e impressão", 1.1 , 1.2 , 1.3 , 1.4 , 1.3 , 1.3 , 1.3 , 1.3 , 1.6 , 1.6 , 1.6 , 1.7 , 1.8 , 2.0 , 1.9 , 2.1 , 2.2 , 2.4 , 2.5 , 2.6 , 2.8 , 2.7 , 2.6 , 2.7 , 2.6 , 2.8 , 2.9 
