"N₂O
 (Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia, 14.04 , 14.04 , 13.93 , 13.82 , 14.45 , 14.93 , 15.80 , 16.85 , 17.57 , 18.10 , 17.94 , 18.77 , 20.14 , 21.12 , 22.46 , 23.15 , 23.81 , 25.15 , 26.96 , 26.41 , 28.92 , 29.39 , 30.93 , 32.31 , 33.74 , 33.62 , 32.88 
1.A.   Atividades de Queima de Combustíveis (abordagem setorial), 13.99 , 13.98 , 13.87 , 13.77 , 14.39 , 14.87 , 15.73 , 16.78 , 17.49 , 18.01 , 17.83 , 18.66 , 20.02 , 20.99 , 22.36 , 22.95 , 23.65 , 25.00 , 26.79 , 26.12 , 28.72 , 29.21 , 30.76 , 32.14 , 33.51 , 33.39 , 32.65 
1.A.1.     Indústrias de Energia, 3.42 , 3.29 , 3.11 , 3.15 , 3.31 , 3.12 , 3.04 , 3.18 , 2.87 , 2.90 , 2.84 , 2.86 , 3.01 , 3.37 , 3.84 , 3.94 , 4.05 , 4.36 , 4.97 , 4.00 , 4.51 , 4.10 , 4.44 , 5.04 , 5.31 , 5.41 , 4.81 
1.A.1.a.       Produção de eletricidade e calor como atividade principal, 0.05 , 0.05 , 0.06 , 0.05 , 0.05 , 0.07 , 0.07 , 0.09 , 0.09 , 0.14 , 0.14 , 0.18 , 0.17 , 0.17 , 0.23 , 0.23 , 0.23 , 0.19 , 0.30 , 0.16 , 0.32 , 0.23 , 0.44 , 0.72 , 0.88 , 0.84 , 0.55 
1.A.1.b.       Refino de petróleo, 0.08 , 0.07 , 0.07 , 0.08 , 0.08 , 0.08 , 0.09 , 0.11 , 0.11 , 0.11 , 0.12 , 0.14 , 0.14 , 0.15 , 0.16 , 0.16 , 0.16 , 0.16 , 0.18 , 0.17 , 0.16 , 0.15 , 0.15 , 0.18 , 0.18 , 0.18 , 0.16 
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia, 3.29 , 3.16 , 2.98 , 3.03 , 3.17 , 2.96 , 2.87 , 2.98 , 2.66 , 2.65 , 2.58 , 2.54 , 2.69 , 3.05 , 3.46 , 3.55 , 3.65 , 4.00 , 4.49 , 3.67 , 4.03 , 3.72 , 3.85 , 4.15 , 4.25 , 4.40 , 4.10 
1.A.2.     Indústrias de Transformação e Construção, 2.66 , 2.65 , 2.69 , 2.76 , 3.05 , 3.08 , 3.15 , 3.28 , 3.57 , 3.78 , 3.48 , 3.80 , 4.03 , 4.40 , 4.56 , 4.71 , 5.17 , 5.49 , 5.53 , 5.65 , 6.27 , 6.32 , 6.36 , 6.33 , 6.20 , 6.05 , 6.33 
1.A.2.a.       Ferro e aço, 0.03 , 0.03 , 0.04 , 0.04 , 0.04 , 0.03 , 0.03 , 0.03 , 0.03 , 0.04 , 0.04 , 0.04 , 0.04 , 0.04 , 0.05 , 0.05 , 0.05 , 0.06 , 0.07 , 0.05 , 0.06 , 0.06 , 0.06 , 0.06 , 0.08 , 0.07 , 0.06 
1.A.2.b.       Metais não ferrosos, 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.02 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.03 , 0.05 , 0.06 , 0.05 , 0.05 , 0.06 , 0.05 , 0.05 
1.A.2.c.       Produtos quimicos, 0.12 , 0.12 , 0.11 , 0.12 , 0.12 , 0.12 , 0.11 , 0.12 , 0.12 , 0.13 , 0.14 , 0.14 , 0.15 , 0.16 , 0.18 , 0.18 , 0.19 , 0.20 , 0.19 , 0.19 , 0.18 , 0.19 , 0.19 , 0.18 , 0.17 , 0.18 , 0.17 
