"Ministério da Ciência, Tecnologia e Inovações",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sistema de Registro Nacional de Emissões (SIRENE),,,,,,,,,,,,,,,,,,,,,,,,,,,

Resultados do 4º Inventário Nacional (1990- 2016),,,,,,,,,,,,,,,,,,,,,,,,,,,

"CO₂e (GWP SAR)
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"4. Uso da Terra, Mudança do Uso da Terra e Florestas (LULUCF)"," 907,520 "," 725,889 "," 838,599 "," 875,589 "," 853,406 "," 1,966,770 "," 1,243,730 "," 910,578 "," 1,169,694 "," 1,123,756 "," 1,175,013 "," 1,120,206 "," 1,328,955 "," 2,411,440 "," 2,605,124 "," 1,564,054 "," 1,196,614 "," 845,990 "," 955,159 "," 318,030 "," 252,508 "," 328,904 "," 178,881 "," 384,572 "," 240,120 "," 364,982 "," 397,357 "
4.A.   Floresta,"-44,052 ","-67,112 ","-119,758 ","-141,167 ","-153,914 ","-76,198 ","-131,192 ","-157,802 ","-145,177 ","-177,829 ","-181,902 ","-189,857 ","-188,516 ","-198,226 ","-197,508 ","-269,033 ","-272,068 ","-334,574 ","-328,368 ","-391,821 ","-399,906 ","-345,350 ","-360,912 ","-341,627 ","-355,509 ","-345,807 ","-347,742 "
4.A.1.     Floresta permanecendo Floresta,"-20,581 ","-42,799 ","-98,148 ","-119,021 ","-130,778 ","-63,531 ","-113,465 ","-137,868 ","-127,103 ","-159,699 ","-164,206 ","-171,220 ","-171,438 ","-169,662 ","-172,935 ","-218,066 ","-216,257 ","-269,627 ","-266,057 ","-310,577 ","-316,477 ","-307,871 ","-320,896 ","-308,008 ","-317,451 ","-310,737 ","-310,606 "
4.A.2.     Área convertida para floresta,"-23,471 ","-24,313 ","-21,609 ","-22,146 ","-23,136 ","-12,667 ","-17,727 ","-19,934 ","-18,074 ","-18,129 ","-17,697 ","-18,637 ","-17,078 ","-28,563 ","-24,573 ","-50,966 ","-55,811 ","-64,947 ","-62,311 ","-81,245 ","-83,429 ","-37,479 ","-40,016 ","-33,619 ","-38,057 ","-35,069 ","-37,136 "
4.B.   Agricultura," 79,007 "," 76,200 "," 79,340 "," 80,441 "," 80,366 "," 113,998 "," 100,510 "," 95,141 "," 99,724 "," 99,596 "," 100,664 "," 92,774 "," 96,589 "," 270,077 "," 282,385 "," 195,853 "," 124,222 "," 106,306 "," 108,770 "," 74,103 "," 71,374 "," 136,520 "," 125,736 "," 160,201 "," 136,632 "," 151,169 "," 132,981 "
4.B.1.     Agricultura permanecendo agricultura, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4.B.2.     Área convertida para agricultura," 79,007 "," 76,200 "," 79,340 "," 80,441 "," 80,366 "," 113,998 "," 100,510 "," 95,141 "," 99,724 "," 99,596 "," 100,664 "," 92,774 "," 96,589 "," 270,077 "," 282,385 "," 195,853 "," 124,222 "," 106,306 "," 108,770 "," 74,103 "," 71,374 "," 136,520 "," 125,736 "," 160,201 "," 136,632 "," 151,169 "," 132,981 "
4.C.   Campos/Pastagem permanecendo Campos/Pastagem," 869,092 "," 717,952 "," 879,807 "," 937,040 "," 931,742 "," 1,926,777 "," 1,275,646 "," 983,353 "," 1,228,756 "," 1,217,090 "," 1,273,855 "," 1,239,684 "," 1,444,125 "," 2,354,492 "," 2,536,313 "," 1,665,259 "," 1,375,973 "," 1,108,079 "," 1,205,757 "," 664,768 "," 614,881 "," 564,020 "," 441,299 "," 591,938 "," 488,980 "," 587,053 "," 640,302 "
4.C.1.     Campos/Pastagem permanecendo Campos/Pastagem," 17,384 "," 14,858 "," 14,445 "," 14,398 "," 13,960 "," 28,550 "," 20,501 "," 16,224 "," 18,219 "," 13,697 "," 13,781 "," 13,414 "," 13,956 "," 49,261 "," 52,346 "," 23,784 "," 22,806 "," 12,323 "," 14,090 ","-5,172 ","-6,087 ", 516 ,"-1,566 "," 6,586 "," 1,273 "," 4,201 ","-3,446 "
4.C.2.     Área convertida para Campos/Pastagem," 851,707 "," 703,095 "," 865,363 "," 922,642 "," 917,782 "," 1,898,227 "," 1,255,144 "," 967,129 "," 1,210,537 "," 1,203,393 "," 1,260,074 "," 1,226,270 "," 1,430,169 "," 2,305,231 "," 2,483,967 "," 1,641,476 "," 1,353,167 "," 1,095,756 "," 1,191,667 "," 669,940 "," 620,968 "," 563,505 "," 442,865 "," 585,352 "," 487,707 "," 582,852 "," 643,748 "
4.D.   Área Alagada," 6,369 "," 6,268 "," 6,379 "," 6,422 "," 6,423 "," 10,547 "," 9,614 "," 9,415 "," 9,588 "," 9,583 "," 9,624 "," 7,187 "," 7,330 "," 15,736 "," 16,066 "," 12,275 "," 10,674 "," 9,672 "," 9,770 "," 7,091 "," 6,255 "," 7,388 "," 6,212 "," 7,654 "," 6,589 "," 7,589 "," 8,605 "
4.D.1.     Área alagada permanecendo área alagada, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
4.D.2.     Área convertida para área alagada," 6,369 "," 6,268 "," 6,379 "," 6,422 "," 6,423 "," 10,547 "," 9,614 "," 9,415 "," 9,588 "," 9,583 "," 9,624 "," 7,187 "," 7,330 "," 15,736 "," 16,066 "," 12,275 "," 10,674 "," 9,672 "," 9,770 "," 7,091 "," 6,255 "," 7,388 "," 6,212 "," 7,654 "," 6,589 "," 7,589 "," 8,605 "
4.E.   Assentamentos," 6,861 "," 6,587 "," 6,872 "," 6,986 "," 6,986 "," 9,928 "," 8,587 "," 8,064 "," 8,508 "," 8,495 "," 8,599 "," 7,683 "," 8,054 "," 8,750 "," 8,973 "," 7,057 "," 6,553 "," 5,945 "," 6,073 "," 4,496 "," 4,356 "," 4,399 "," 4,415 "," 5,017 "," 4,438 "," 4,723 "," 5,074 "
