"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - setor LULUCF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rondônia","  115,564 ","  85,521 ","  110,961 ","  121,667 ","  120,594 ","  292,541 ","  133,544 ","  104,044 ","  104,371 ","  130,632 ","  131,572 ","  153,425 ","  175,325 ","  238,521 ","  261,227 ","  206,740 ","  145,085 ","  107,512 ","  68,412 ","  12,256 ","  8,171 ","  39,326 ","  33,516 ","  44,388 ","  26,822 ","  52,857 ","  78,813 "
"Acre","  35,149 ","  23,851 ","  31,298 ","  34,512 ","  33,981 ","  86,889 ","  24,122 ","  18,605 ","  31,825 ","  25,023 ","  31,804 ","  22,740 ","  58,117 ","  79,394 ","  49,428 ","  35,045 ","  36,515 ","  8,589 ","  17,610 ","  5,595 ","  16,376 ","  9,575 ","  12,067 ","  4,659 ","  12,305 ","  8,758 ","  18,319 "
"Amazonas","  35,755 ","  18,334 ","  19,967 ","  4,866 ","  265 ","  74,087 ","- 2,547 ","- 31,278 ","- 28,083 ","- 42,844 ","- 55,356 ","- 52,579 ","- 48,224 ","  58,385 ","  17,238 ","- 38,442 ","- 27,417 ","- 55,289 ","- 56,509 ","- 91,509 ","- 75,382 ","- 104,310 ","- 103,214 ","- 98,930 ","- 105,227 ","- 89,060 ","- 56,225 "
"Roraima","  5,085 ","  3,119 ","- 6,235 ","- 5,488 ","- 5,570 ","  5,777 ","  4,853 ","  1,998 ","  5,502 ","  2,249 ","  1,929 ","  12,974 ","- 15,169 ","  63,134 ","  38,343 ","  1,113 ","- 4,490 ","- 1,835 ","  14,930 ","- 13,900 ","- 5,972 ","- 10,773 ","- 12,054 ","- 8,279 ","- 4,049 ","- 9,210 ","- 5,156 "
"Pará","  224,557 ","  166,673 ","  207,031 ","  226,250 ","  218,597 ","  573,723 ","  421,609 ","  259,344 ","  390,150 ","  336,330 ","  446,774 ","  348,694 ","  525,092 ","  690,649 ","  896,008 ","  528,307 ","  393,745 ","  349,499 ","  358,687 ","  222,107 ","  173,680 ","  128,962 ","  19,213 ","  71,463 ","  31,794 ","  56,755 ","  130,444 "
"Amapá","- 629 ","- 1,980 ","- 3,439 ","- 3,344 ","- 3,349 ","- 726 ","- 5,776 ","  3,890 ","  8,840 ","- 8,069 ","- 7,945 ","- 3,872 ","- 8,003 ","- 2,132 ","  4,942 ","  78 ","- 6,645 ","- 7,590 ","- 3,339 ","- 5,337 ","- 6,490 ","- 8,124 ","- 11,994 ","- 12,147 ","- 11,187 ","- 12,029 ","- 12,855 "
"Tocantins","  39,182 ","  34,255 ","  39,595 ","  41,239 ","  40,945 ","  76,450 ","  45,011 ","  42,251 ","  59,764 ","  35,349 ","  36,589 ","  33,375 ","  33,391 ","  72,677 ","  73,383 ","  85,474 ","  53,604 ","  32,621 ","  40,335 ","  33,115 ","  31,034 ","  21,391 ","  22,737 ","  43,984 ","  31,723 ","  46,142 ","  20,477 "
"Maranhão","  87,259 ","  74,234 ","  84,477 ","  88,719 ","  88,100 ","  176,548 ","  120,301 ","  68,937 ","  115,665 ","  136,181 ","  119,449 ","  114,551 ","  122,348 ","  171,716 ","  141,540 ","  148,844 ","  95,271 ","  107,802 ","  168,457 ","  91,962 ","  79,957 ","  80,346 ","  65,164 ","  85,496 ","  75,026 ","  63,048 ","  56,937 "
"Piauí","  9,551 ","  9,534 ","  9,700 ","  9,644 ","  9,577 ","  13,007 ","  13,002 ","  12,585 ","  12,565 ","  12,057 ","  11,984 ","  12,060 ","  11,961 ","  17,942 ","  17,956 ","  15,991 ","  15,985 ","  12,256 ","  12,260 ","  15,648 ","  13,588 ","  17,439 ","  17,432 ","  23,300 ","  20,776 ","  14,949 ","  13,637 "
"Ceará","  4,655 ","  4,635 ","  4,704 ","  4,683 ","  4,655 ","  6,263 ","  6,264 ","  6,164 ","  6,070 ","  6,067 ","  6,067 ","  6,066 ","  6,058 ","  10,957 ","  10,957 ","  11,747 ","  11,743 ","  10,936 ","  10,956 ","  6,782 ","  3,783 ","  3,536 ","  3,534 ","  3,319 ","  3,022 ","  3,234 ","  3,876 "
"Rio Grande do Norte","  1,335 ","  1,324 ","  1,344 ","  1,337 ","  1,329 ","  1,944 ","  1,880 ","  1,880 ","  1,881 ","  1,882 ","  1,871 ","  1,675 ","  1,675 ","  2,360 ","  2,359 ","  2,522 ","  2,533 ","  2,373 ","  2,374 ","  1,047 ","  320 ","  856 ","  858 ","  1,195 ","  738 ","  848 ","  932 "
"Paraíba","  1,609 ","  1,602 ","  1,619 ","  1,608 ","  1,598 ","  2,272 ","  2,223 ","  2,223 ","  2,224 ","  2,224 ","  2,225 ","  2,073 ","  2,074 ","  1,768 ","  1,768 ","  1,885 ","  1,898 ","  1,780 ","  1,780 ","  738 ","  1,468 ","  924 ","  926 ","  871 ","  831 ","  881 ","  1,126 "
"Pernambuco","  2,736 ","  2,732 ","  2,771 ","  2,758 ","  2,742 ","  4,454 ","  4,140 ","  4,136 ","  4,083 ","  4,081 ","  4,073 ","  3,108 ","  3,106 ","  2,759 ","  2,759 ","  2,939 ","  2,988 ","  2,811 ","  2,804 ","  873 ","  287 ","  1,361 ","  1,560 ","  1,547 ","  1,233 ","  1,420 ","  1,459 "
"Alagoas","  569 ","  568 ","  576 ","  571 ","  568 ","  1,135 ","  987 ","  987 ","  943 ","  943 ","  943 ","  486 ","  486 ","  1,946 ","  1,946 ","  2,072 ","  2,113 ","  1,989 ","  1,958 ","  811 ","  289 ","  186 ","  854 ","  247 ","  223 ","  171 ","  230 "
"Sergipe","  514 ","  514 ","  521 ","  517 ","  514 ","  873 ","  799 ","  799 ","  799 ","  799 ","  800 ","  572 ","  572 ","  1,283 ","  1,283 ","  1,345 ","  1,409 ","  1,348 ","  1,346 ","  427 ","  503 ","  64 ","  944 ","  213 ","  39 ","  400 ","  178 "
