"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - setor Resíduos","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rondônia","  164 ","  187 ","  204 ","  228 ","  245 ","  267 ","  277 ","  282 ","  300 ","  318 ","  337 ","  352 ","  383 ","  398 ","  416 ","  493 ","  533 ","  512 ","  518 ","  528 ","  559 ","  560 ","  578 ","  673 ","  627 ","  605 ","  637 "
"Acre","  48 ","  52 ","  51 ","  55 ","  63 ","  71 ","  72 ","  78 ","  86 ","  90 ","  102 ","  108 ","  113 ","  118 ","  119 ","  122 ","  127 ","  146 ","  152 ","  158 ","  181 ","  186 ","  207 ","  228 ","  228 ","  225 ","  239 "
"Amazonas","  377 ","  446 ","  442 ","  506 ","  557 ","  609 ","  629 ","  678 ","  712 ","  758 ","  793 ","  831 ","  889 ","  961 ","  1,014 ","  1,047 ","  1,080 ","  1,111 ","  1,212 ","  1,216 ","  1,333 ","  1,182 ","  933 ","  1,041 ","  913 ","  866 ","  944 "
"Roraima","  31 ","  38 ","  45 ","  53 ","  62 ","  71 ","  77 ","  78 ","  81 ","  85 ","  94 ","  101 ","  121 ","  138 ","  145 ","  164 ","  184 ","  191 ","  210 ","  227 ","  250 ","  250 ","  241 ","  226 ","  226 ","  209 ","  208 "
"Pará","  676 ","  738 ","  629 ","  774 ","  834 ","  893 ","  960 ","  1,002 ","  1,049 ","  1,102 ","  1,229 ","  1,339 ","  1,429 ","  1,468 ","  1,437 ","  1,508 ","  1,578 ","  1,674 ","  1,720 ","  1,795 ","  1,860 ","  1,792 ","  1,913 ","  2,130 ","  2,160 ","  2,289 ","  2,405 "
"Amapá","  52 ","  54 ","  60 ","  66 ","  75 ","  84 ","  96 ","  106 ","  109 ","  116 ","  121 ","  132 ","  137 ","  140 ","  143 ","  156 ","  161 ","  154 ","  158 ","  172 ","  181 ","  173 ","  175 ","  178 ","  184 ","  183 ","  195 "
"Tocantins","  100 ","  106 ","  113 ","  124 ","  140 ","  157 ","  167 ","  191 ","  211 ","  230 ","  263 ","  276 ","  306 ","  381 ","  380 ","  369 ","  371 ","  374 ","  377 ","  389 ","  458 ","  480 ","  537 ","  552 ","  530 ","  515 ","  529 "
"Maranhão","  494 ","  491 ","  488 ","  541 ","  573 ","  624 ","  617 ","  624 ","  673 ","  750 ","  860 ","  941 ","  1,031 ","  1,097 ","  1,365 ","  1,396 ","  1,429 ","  1,390 ","  1,842 ","  1,879 ","  1,828 ","  1,584 ","  1,747 ","  1,754 ","  1,834 ","  1,879 ","  1,789 "
"Piauí","  207 ","  221 ","  249 ","  274 ","  302 ","  334 ","  362 ","  398 ","  433 ","  470 ","  521 ","  540 ","  545 ","  571 ","  571 ","  601 ","  609 ","  664 ","  688 ","  711 ","  799 ","  876 ","  940 ","  980 ","  998 ","  1,012 ","  999 "
"Ceará","  736 ","  794 ","  857 ","  938 ","  1,010 ","  1,093 ","  1,175 ","  1,248 ","  1,357 ","  1,472 ","  1,587 ","  1,666 ","  1,734 ","  1,834 ","  1,875 ","  1,908 ","  1,957 ","  2,042 ","  2,155 ","  2,168 ","  2,212 ","  2,226 ","  2,211 ","  2,374 ","  2,500 ","  2,552 ","  2,556 "
