"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rondônia","  122,033 ","  93,592 ","  118,816 ","  130,559 ","  129,881 ","  302,947 ","  143,686 ","  114,840 ","  116,660 ","  144,198 ","  145,986 ","  169,084 ","  192,453 ","  258,326 ","  283,009 ","  229,898 ","  168,713 ","  129,702 ","  90,885 ","  36,437 ","  33,143 ","  63,714 ","  58,277 ","  69,164 ","  52,616 ","  79,502 ","  105,958 "
"Acre","  36,541 ","  25,361 ","  32,864 ","  36,269 ","  35,814 ","  88,874 ","  26,833 ","  21,473 ","  34,621 ","  28,228 ","  35,232 ","  27,409 ","  62,981 ","  84,324 ","  54,256 ","  40,166 ","  41,766 ","  13,424 ","  22,592 ","  10,690 ","  21,747 ","  14,789 ","  17,830 ","  10,222 ","  18,107 ","  14,753 ","  24,460 "
"Amazonas","  43,000 ","  26,544 ","  28,900 ","  13,474 ","  9,724 ","  86,043 ","  8,608 ","- 18,586 ","- 13,637 ","- 27,182 ","- 41,076 ","- 39,100 ","- 32,983 ","  71,870 ","  32,052 ","- 22,228 ","- 10,483 ","- 36,876 ","- 38,605 ","- 73,193 ","- 55,506 ","- 83,790 ","- 81,889 ","- 77,261 ","- 83,521 ","- 68,657 ","- 37,572 "
"Roraima","  6,378 ","  4,649 ","- 4,775 ","- 4,039 ","- 4,109 ","  7,311 ","  6,678 ","  3,782 ","  7,251 ","  4,484 ","  3,789 ","  14,442 ","- 13,766 ","  64,569 ","  39,856 ","  2,705 ","- 2,836 ","- 231 ","  16,593 ","- 12,207 ","- 3,701 ","- 8,721 ","- 9,916 ","- 5,993 ","- 1,631 ","- 6,735 ","- 2,728 "
"Pará","  244,632 ","  188,289 ","  229,367 ","  250,132 ","  243,035 ","  598,907 ","  442,907 ","  282,562 ","  415,914 ","  363,760 ","  477,521 ","  382,218 ","  558,958 ","  727,946 ","  940,256 ","  573,686 ","  439,450 ","  392,096 ","  402,666 ","  267,381 ","  222,837 ","  179,246 ","  71,731 ","  125,351 ","  87,934 ","  113,830 ","  187,675 "
"Amapá","- 53 ","- 1,365 ","- 2,701 ","- 2,299 ","- 2,208 ","  292 ","- 4,997 ","  5,132 ","  10,082 ","- 6,603 ","- 6,465 ","- 2,504 ","- 6,599 ","- 429 ","  6,896 ","  2,145 ","- 4,844 ","- 5,456 ","- 1,344 ","- 2,952 ","- 4,094 ","- 5,628 ","- 9,301 ","- 9,379 ","- 8,283 ","- 9,963 ","- 11,255 "
"Tocantins","  48,798 ","  44,193 ","  50,008 ","  52,681 ","  52,650 ","  88,551 ","  56,337 ","  53,795 ","  71,705 ","  47,965 ","  49,702 ","  47,265 ","  47,955 ","  88,569 ","  90,079 ","  102,039 ","  69,736 ","  48,243 ","  56,291 ","  49,513 ","  48,725 ","  39,189 ","  41,349 ","  63,288 ","  51,305 ","  66,304 ","  41,019 "
"Maranhão","  100,289 ","  87,459 ","  97,739 ","  103,057 ","  102,605 ","  190,196 ","  133,078 ","  81,606 ","  128,845 ","  149,548 ","  133,419 ","  129,173 ","  137,928 ","  188,651 ","  159,504 ","  167,645 ","  114,704 ","  127,402 ","  189,213 ","  112,397 ","  102,487 ","  104,058 ","  90,105 ","  112,677 ","  110,541 ","  97,090 ","  91,225 "
"Piauí","  15,791 ","  16,073 ","  16,153 ","  15,933 ","  16,122 ","  19,853 ","  18,976 ","  18,624 ","  18,691 ","  18,408 ","  18,519 ","  18,897 ","  18,554 ","  24,686 ","  24,867 ","  23,047 ","  23,095 ","  19,299 ","  19,689 ","  22,840 ","  21,283 ","  25,454 ","  25,978 ","  31,887 ","  29,806 ","  23,516 ","  22,008 "
"Ceará","  14,574 ","  15,011 ","  15,120 ","  14,211 ","  14,653 ","  16,942 ","  17,500 ","  17,868 ","  17,544 ","  17,799 ","  18,036 ","  18,197 ","  18,381 ","  23,319 ","  23,698 ","  24,967 ","  25,214 ","  24,762 ","  25,478 ","  21,556 ","  20,494 ","  20,683 ","  21,901 ","  23,366 ","  23,794 ","  23,312 ","  24,256 "
