"CO
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia," 9,001 "," 9,164 "," 8,879 "," 8,745 "," 8,833 "," 8,692 "," 8,702 "," 8,404 "," 7,984 "," 7,603 "," 7,052 "," 6,656 "," 6,707 "," 6,849 "," 7,084 "," 7,057 "," 7,005 "," 7,257 "," 7,362 "," 6,819 "," 7,028 "," 6,783 "," 6,738 "," 6,648 "," 6,766 "," 6,662 "," 6,399 "
1.A.   Atividades de Queima de Combustíveis (abordagem setorial)," 9,001 "," 9,164 "," 8,879 "," 8,745 "," 8,833 "," 8,692 "," 8,702 "," 8,404 "," 7,984 "," 7,603 "," 7,052 "," 6,656 "," 6,707 "," 6,849 "," 7,084 "," 7,057 "," 7,005 "," 7,257 "," 7,362 "," 6,819 "," 7,028 "," 6,783 "," 6,738 "," 6,648 "," 6,766 "," 6,662 "," 6,399 "
1.A.1.     Indústrias de Energia," 1,372 "," 1,275 "," 1,201 "," 1,234 "," 1,276 "," 1,190 "," 1,124 "," 1,143 "," 1,031 "," 1,058 "," 1,071 "," 1,036 "," 1,094 "," 1,241 "," 1,434 "," 1,453 "," 1,466 "," 1,570 "," 1,705 "," 1,329 "," 1,458 "," 1,406 "," 1,466 "," 1,544 "," 1,585 "," 1,618 "," 1,485 "
1.A.1.a.       Produção de eletricidade e calor como atividade principal, 3 , 3 , 4 , 4 , 4 , 6 , 5 , 7 , 8 , 11 , 9 , 11 , 11 , 12 , 15 , 15 , 13 , 11 , 18 , 11 , 19 , 15 , 26 , 36 , 44 , 38 , 22 
1.A.1.b.       Refino de petróleo, 8 , 8 , 9 , 10 , 11 , 11 , 13 , 15 , 16 , 16 , 17 , 17 , 17 , 19 , 19 , 21 , 21 , 22 , 22 , 21 , 17 , 18 , 18 , 19 , 20 , 18 , 17 
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia," 1,361 "," 1,264 "," 1,188 "," 1,221 "," 1,261 "," 1,174 "," 1,106 "," 1,121 "," 1,007 "," 1,030 "," 1,045 "," 1,008 "," 1,067 "," 1,211 "," 1,399 "," 1,417 "," 1,431 "," 1,537 "," 1,665 "," 1,296 "," 1,422 "," 1,373 "," 1,423 "," 1,490 "," 1,521 "," 1,561 "," 1,446 "
1.A.2.     Indústrias de Transformação e Construção, 788 , 781 , 750 , 807 , 855 , 836 , 888 , 885 , 953 ," 1,043 "," 1,074 "," 1,085 "," 1,119 "," 1,275 "," 1,304 "," 1,372 "," 1,458 "," 1,555 "," 1,647 "," 1,696 "," 1,906 "," 1,975 "," 1,921 "," 1,998 "," 2,073 "," 2,080 "," 2,101 "
1.A.2.a.       Ferro e aço, 3 , 3 , 3 , 4 , 3 , 4 , 5 , 7 , 7 , 8 , 9 , 8 , 10 , 11 , 13 , 13 , 13 , 14 , 15 , 11 , 13 , 13 , 13 , 12 , 12 , 12 , 11 
1.A.2.b.       Metais não ferrosos, 4 , 3 , 3 , 3 , 4 , 4 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 2 , 2 , 6 , 7 , 7 , 7 , 7 , 6 , 6 
1.A.2.c.       Produtos quimicos, 30 , 28 , 24 , 25 , 28 , 25 , 21 , 19 , 18 , 20 , 21 , 19 , 18 , 21 , 21 , 22 , 23 , 24 , 22 , 22 , 23 , 23 , 22 , 22 , 21 , 22 , 20 
"1.A.2.d.       Celulose, papel e impressão", 255 , 268 , 315 , 357 , 382 , 370 , 388 , 397 , 443 , 472 , 484 , 482 , 524 , 603 , 637 , 675 , 729 , 773 , 821 , 871 , 942 , 943 , 929 , 994 ," 1,074 "," 1,153 "," 1,232 "
"1.A.2.e.       Processamento de alimentos, bebidas e tabaco", 211 , 216 , 183 , 184 , 194 , 194 , 204 , 206 , 218 , 228 , 216 , 228 , 237 , 291 , 258 , 267 , 279 , 298 , 298 , 318 , 415 , 419 , 380 , 370 , 363 , 351 , 349 
1.A.2.f.       Minerais não metálicos, 199 , 178 , 156 , 168 , 176 , 174 , 201 , 187 , 197 , 235 , 259 , 265 , 255 , 254 , 271 , 286 , 302 , 324 , 364 , 351 , 373 , 431 , 436 , 455 , 457 , 405 , 364 
1.A.2.g.       Equipamentos de transporte, 63 , 62 , 47 , 50 , 52 , 55 , 54 , 54 , 56 , 62 , 67 , 64 , 57 , 76 , 79 , 78 , 81 , 86 , 90 , 90 , 98 , 103 , 101 , 103 , 102 , 96 , 90 
1.A.2.i.       Mineração (exceto combustíveis) e extração, 10 , 11 , 10 , 6 , 7 , 2 , 4 , 4 , 4 , 8 , 9 , 9 , 8 , 10 , 14 , 20 , 20 , 25 , 26 , 22 , 27 , 29 , 27 , 28 , 29 , 29 , 22 
1.A.2.l.       Têxtil e couro, 14 , 13 , 9 , 9 , 9 , 9 , 10 , 9 , 9 , 8 , 7 , 7 , 7 , 8 , 8 , 8 , 9 , 9 , 9 , 8 , 8 , 7 , 7 , 7 , 6 , 6 , 5 
1.A.3.     Transporte," 5,307 "," 5,583 "," 5,413 "," 5,359 "," 5,392 "," 5,471 "," 5,521 "," 5,188 "," 4,794 "," 4,264 "," 3,642 "," 3,216 "," 3,032 "," 2,809 "," 2,800 "," 2,654 "," 2,497 "," 2,616 "," 2,499 "," 2,309 "," 2,227 "," 2,102 "," 2,055 "," 1,940 "," 1,862 "," 1,676 "," 1,595 "
1.A.3.a.ii.          Aviação doméstica, 4 , 4 , 4 , 4 , 4 , 4 , 5 , 5 , 6 , 5 , 6 , 6 , 6 , 4 , 4 , 4 , 4 , 4 , 3 , 4 , 5 , 5 , 6 , 5 , 6 , 5 , 5 
1.A.3.b.       Transporte rodoviário," 5,289 "," 5,565 "," 5,395 "," 5,340 "," 5,375 "," 5,454 "," 5,501 "," 5,172 "," 4,777 "," 4,247 "," 3,625 "," 3,198 "," 3,011 "," 2,790 "," 2,779 "," 2,633 "," 2,476 "," 2,592 "," 2,474 "," 2,284 "," 2,200 "," 2,074 "," 2,027 "," 1,911 "," 1,832 "," 1,651 "," 1,571 "
1.A.3.c.       Transporte Ferroviário, 6 , 6 , 6 , 6 , 4 , 5 , 4 , 3 , 4 , 4 , 4 , 5 , 7 , 7 , 8 , 9 , 10 , 10 , 11 , 10 , 10 , 11 , 11 , 11 , 11 , 10 , 10 
1.A.3.d.ii.          Navegação doméstica, 8 , 8 , 8 , 9 , 9 , 8 , 11 , 8 , 8 , 8 , 7 , 8 , 8 , 7 , 8 , 9 , 8 , 10 , 11 , 10 , 10 , 10 , 10 , 10 , 11 , 7 , 6 
1.A.3.e.       Outros transportes, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 1 , 2 , 3 , 3 , 3 , 3 
1.A.4.     Outros Setores," 1,534 "," 1,524 "," 1,515 "," 1,345 "," 1,310 "," 1,194 "," 1,169 "," 1,183 "," 1,202 "," 1,238 "," 1,263 "," 1,317 "," 1,460 "," 1,523 "," 1,546 "," 1,577 "," 1,583 "," 1,515 "," 1,510 "," 1,485 "," 1,436 "," 1,300 "," 1,295 "," 1,166 "," 1,245 "," 1,287 "," 1,217 "
1.A.4.a.       Comercial / institucional, 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 4 , 4 , 5 , 5 , 4 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 
1.A.4.b.       Residencial," 1,443 "," 1,433 "," 1,427 "," 1,254 "," 1,218 "," 1,098 "," 1,072 "," 1,084 "," 1,107 "," 1,142 "," 1,172 "," 1,221 "," 1,362 "," 1,419 "," 1,439 "," 1,468 "," 1,473 "," 1,398 "," 1,382 "," 1,362 "," 1,307 "," 1,173 "," 1,167 "," 1,032 "," 1,106 "," 1,143 "," 1,091 "
1.A.4.c.       Agricultura / silvicultura / pesca / piscicultura, 87 , 87 , 83 , 86 , 87 , 91 , 93 , 94 , 91 , 91 , 87 , 91 , 94 , 100 , 102 , 104 , 106 , 112 , 123 , 118 , 124 , 121 , 123 , 128 , 133 , 138 , 121 
1.A.5.     Não Especificado, 1 , 1 , 1 , 1 , 1 , 1 , 1 , 5 , 3 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 0 , 0 
1.B.   Emissões Fugitivas a Partir da Produção de Combustíveis, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1.B.1.     Combustíveis sólidos, NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
1.B.2.     Petróleo e Gás Natural , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
1.C.   Transporte e armazenamento de CO2, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
