"NOx 
(Gg)",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
1. Energia," 1,445 "," 1,501 "," 1,539 "," 1,587 "," 1,638 "," 1,721 "," 1,825 "," 1,891 "," 1,926 "," 1,985 "," 1,959 "," 1,985 "," 1,970 "," 1,941 "," 2,033 "," 2,037 "," 2,042 "," 2,138 "," 2,259 "," 2,163 "," 2,265 "," 2,283 "," 2,382 "," 2,490 "," 2,568 "," 2,387 "," 2,191 "
1.A.   Atividades de Queima de Combustíveis (abordagem setorial)," 1,445 "," 1,501 "," 1,539 "," 1,587 "," 1,638 "," 1,721 "," 1,825 "," 1,891 "," 1,926 "," 1,985 "," 1,959 "," 1,985 "," 1,970 "," 1,941 "," 2,033 "," 2,037 "," 2,042 "," 2,138 "," 2,259 "," 2,163 "," 2,265 "," 2,283 "," 2,382 "," 2,490 "," 2,568 "," 2,387 "," 2,191 "
1.A.1.     Indústrias de Energia, 221 , 231 , 249 , 251 , 258 , 268 , 290 , 332 , 339 , 384 , 391 , 410 , 372 , 404 , 444 , 471 , 480 , 489 , 567 , 539 , 539 , 550 , 637 , 753 , 849 , 804 , 695 
1.A.1.a.       Produção de eletricidade e calor como atividade principal, 53 , 60 , 66 , 58 , 62 , 80 , 79 , 100 , 106 , 153 , 138 , 142 , 108 , 121 , 141 , 145 , 141 , 127 , 150 , 118 , 157 , 138 , 199 , 276 , 337 , 303 , 214 
1.A.1.b.       Refino de petróleo, 92 , 91 , 100 , 111 , 114 , 104 , 118 , 126 , 135 , 142 , 153 , 157 , 149 , 152 , 162 , 178 , 176 , 186 , 197 , 196 , 168 , 191 , 195 , 206 , 229 , 215 , 205 
1.A.1.c.       Produção de combustíveis sólidos e outras indústrias de energia, 76 , 80 , 82 , 82 , 82 , 83 , 93 , 106 , 97 , 89 , 100 , 111 , 115 , 131 , 141 , 148 , 163 , 175 , 220 , 225 , 215 , 221 , 243 , 271 , 284 , 286 , 276 
1.A.2.     Indústrias de Transformação e Construção, 140 , 145 , 150 , 155 , 170 , 181 , 194 , 208 , 215 , 233 , 238 , 240 , 246 , 249 , 255 , 265 , 278 , 303 , 303 , 298 , 327 , 345 , 346 , 347 , 352 , 341 , 337 
1.A.2.a.       Ferro e aço, 11 , 12 , 13 , 14 , 14 , 13 , 12 , 13 , 12 , 13 , 14 , 13 , 14 , 14 , 15 , 16 , 15 , 16 , 17 , 14 , 16 , 16 , 17 , 16 , 17 , 16 , 16 
1.A.2.b.       Metais não ferrosos, 3 , 3 , 3 , 3 , 4 , 5 , 7 , 6 , 7 , 8 , 9 , 8 , 9 , 10 , 10 , 10 , 11 , 12 , 12 , 9 , 23 , 25 , 25 , 24 , 26 , 25 , 25 
1.A.2.c.       Produtos quimicos, 28 , 29 , 30 , 30 , 34 , 39 , 44 , 50 , 48 , 57 , 62 , 61 , 63 , 62 , 64 , 62 , 65 , 71 , 64 , 65 , 60 , 60 , 60 , 58 , 55 , 57 , 54 
