"Project ID","ARB ID","Project Developer","Project Name","Project VVB","Project Type","Voluntary Status","ARB Status","Project Site Location","Project Site State","Project Site Country","Sustainable Development Goal(s)","Project Notes","Total Number of Credits Registered ","Documents","Project Website",
"ACR586","NA","The Climate Trust","18 Reserves Forest Carbon Project","Aster Global Environmental Solutions, Inc.","Forest Carbon","Listed","Not ARB Eligible","Near Cleveland","OHIO","US","Clean Water and Sanitation;Climate Action;Life on Land","","","View","",
"ACR206","CAOD5052","EOS Climate Inc","2014-P4","NSF International Strategic Registrations (NSF-ISR)","Ozone Depleting Substances","N/A","ARB Completed","El Dorado","ARKANSAS","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","71825","View","www.eosclimate.com",
"ACR203","NA","EOS Climate Inc","2014-P5","NSF International Strategic Registrations (NSF-ISR)","Ozone Depleting Substances","N/A","ARB Inactive","El Dorado","ARKANSAS","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","","View","www.eosclimate.com",
"ACR521","CAOD5521","A-Gas US Inc.","A-Gas 1-2020","Ruby Canyon Environment","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","62007","View","www.agasamericas.com",
"ACR522","CAOD5522","A-Gas US Inc.","A-Gas 2-2020","Ruby Canyon Environment","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","94565","View","www.agasamericas.com",
"ACR443","CAOD5443","A-Gas US Inc.","A-Gas 2019-3","SES, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Wood County, Bowling Green, Ohio","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","114871","View","www.agasamericas.com",
"ACR444","CAOD5444","A-Gas US Inc.","A-Gas 2019-4","SES, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","88307","View","www.agasamericas.com",
"ACR473","CAOD5473","A-Gas US Inc.","A-Gas 2019-5","GHD Services, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","125403","View","",
"ACR474","CAOD5474","A-Gas US Inc.","A-Gas 2019-6","","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","149835","View","",
"ACR475","CAOD5475","A-Gas US Inc.","A-Gas 2019-7","GHD Services, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","91017","View","",
"ACR497","CAOD5497","A-Gas US Inc.","A-Gas 2019-8","GHD Services, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","42038","View","www.agasamericas.com",
"ACR503","CAOD5503","A-Gas US Inc.","A-Gas 2019-9","GHD Services, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","136444","View","www.agasamericas.com",
"ACR496","CAOD5496","A-Gas US Inc.","A-Gas 2019-Misc","GHD Services, Inc.","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","51610","View","www.agasamericas.com",
"ACR533","CAOD5533","A-Gas US Inc.","A-Gas 3-2020","Ruby Canyon Environment","Ozone Depleting Substances","N/A","Listed - Active ARB Project","Bowling Green","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","81042","View","www.agasamericas.com",
"ACR573","NA","A-Gas US Inc.","A-Gas V1","Ruby Canyon Environment","Industrial Process Emissions","Registered","Not ARB Eligible","Wood County, Bowling Green, Ohio","OHIO","US","Industry, Innovation and Infrastructure;Responsible Consumption and Production;Climate Action","","83702","View","www.agasamericas.com",
