"Ministério da Ciência, Tecnologia e Inovações","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sistema de Registro Nacional de Emissões (SIRENE)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resultados do 4º Inventário Nacional (1990- 2016) por Unidade Federativa - Setor Agropecuária","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CO₂e (GWP SAR)
(Gg)","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Rondônia","  3,902 ","  5,953 ","  5,945 ","  6,862 ","  7,049 ","  7,892 ","  7,362 ","  8,011 ","  9,394 ","  10,063 ","  10,453 ","  12,175 ","  14,156 ","  16,453 ","  18,575 ","  19,585 ","  19,751 ","  18,705 ","  19,038 ","  19,744 ","  20,368 ","  20,350 ","  20,567 ","  20,553 ","  21,331 ","  22,358 ","  22,823 "
"Acre","  872 ","  886 ","  896 ","  982 ","  1,020 ","  1,031 ","  1,595 ","  1,617 ","  1,704 ","  1,770 ","  1,945 ","  3,045 ","  3,214 ","  3,326 ","  3,626 ","  3,979 ","  4,234 ","  3,923 ","  4,111 ","  4,227 ","  4,361 ","  4,189 ","  4,388 ","  4,456 ","  4,623 ","  4,830 ","  4,969 "
"Amazonas","  1,420 ","  1,442 ","  1,425 ","  1,531 ","  1,649 ","  1,770 ","  1,588 ","  1,672 ","  1,766 ","  1,824 ","  1,869 ","  1,933 ","  1,974 ","  2,363 ","  2,409 ","  2,478 ","  2,537 ","  2,323 ","  2,547 ","  2,622 ","  2,659 ","  2,766 ","  2,797 ","  2,814 ","  2,705 ","  2,509 ","  2,544 "
"Roraima","  807 ","  781 ","  795 ","  736 ","  685 ","  677 ","  825 ","  785 ","  861 ","  976 ","  980 ","  925 ","  909 ","  936 ","  1,016 ","  1,108 ","  1,096 ","  1,034 ","  1,040 ","  1,005 ","  1,177 ","  1,288 ","  1,349 ","  1,432 ","  1,405 ","  1,481 ","  1,476 "
"Pará","  14,193 ","  14,985 ","  15,702 ","  16,621 ","  16,882 ","  17,924 ","  14,006 ","  15,378 ","  16,859 ","  17,977 ","  20,404 ","  21,895 ","  23,352 ","  25,469 ","  31,919 ","  32,838 ","  31,841 ","  27,860 ","  29,247 ","  30,324 ","  31,669 ","  32,006 ","  32,850 ","  33,684 ","  34,973 ","  35,639 ","  36,263 "
"Amapá","  294 ","  295 ","  287 ","  396 ","  458 ","  482 ","  364 ","  383 ","  417 ","  420 ","  451 ","  465 ","  451 ","  446 ","  464 ","  540 ","  585 ","  577 ","  553 ","  570 ","  612 ","  673 ","  735 ","  785 ","  840 ","  703 ","  702 "
"Tocantins","  8,594 ","  8,970 ","  9,316 ","  10,310 ","  10,566 ","  10,945 ","  9,927 ","  9,913 ","  10,236 ","  11,007 ","  11,493 ","  12,287 ","  12,802 ","  14,031 ","  14,696 ","  14,554 ","  14,012 ","  13,275 ","  13,442 ","  13,885 ","  14,587 ","  14,512 ","  14,934 ","  15,370 ","  15,441 ","  16,152 ","  16,627 "
"Maranhão","  9,216 ","  9,307 ","  9,070 ","  9,220 ","  9,533 ","  9,523 ","  8,434 ","  8,288 ","  8,477 ","  8,591 ","  8,948 ","  9,692 ","  10,030 ","  11,466 ","  12,098 ","  12,705 ","  13,037 ","  12,760 ","  13,000 ","  13,078 ","  13,386 ","  13,663 ","  13,819 ","  14,269 ","  14,699 ","  14,586 ","  14,471 "
"Piauí","  5,101 ","  5,347 ","  5,228 ","  5,058 ","  5,284 ","  5,481 ","  4,412 ","  4,398 ","  4,417 ","  4,492 ","  4,553 ","  4,610 ","  4,551 ","  4,691 ","  4,677 ","  4,762 ","  4,803 ","  4,535 ","  4,626 ","  4,285 ","  4,371 ","  4,557 ","  4,583 ","  4,404 ","  4,541 ","  4,267 ","  4,247 "
"Ceará","  6,142 ","  6,268 ","  6,219 ","  5,105 ","  5,387 ","  5,559 ","  5,538 ","  5,525 ","  4,924 ","  5,098 ","  5,216 ","  5,154 ","  5,231 ","  5,449 ","  5,456 ","  5,587 ","  5,755 ","  5,881 ","  6,060 ","  5,946 ","  6,097 ","  6,379 ","  6,440 ","  6,007 ","  6,207 ","  5,865 ","  5,793 "
