"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"25.04.2023","86,81","88,58","88,91","86,53","20,94K","-1,98%"
"24.04.2023","88,56","90,11","90,11","87,59","17,79K","-1,45%"
"21.04.2023","89,86","91,95","92,41","89,25","16,35K","-2,05%"
"20.04.2023","91,74","94,45","94,66","91,18","18,42K","-2,81%"
"19.04.2023","94,39","95,30","96,47","94,18","12,80K","-0,80%"
"18.04.2023","95,15","92,98","95,60","92,33","14,37K","2,41%"
"17.04.2023","92,91","94,14","94,75","92,16","11,40K","-1,28%"
"14.04.2023","94,11","94,39","94,99","93,16","11,55K","-0,30%"
"13.04.2023","94,39","96,15","96,50","93,10","14,93K","-1,95%"
"12.04.2023","96,27","97,53","98,21","95,09","16,89K","-1,23%"
"11.04.2023","97,47","96,75","98,43","96,72","12,46K","0,74%"
"06.04.2023","96,75","97,00","97,90","96,00","","-0,27%"
"05.04.2023","97,01","94,97","98,00","94,78","17,83K","2,14%"
"04.04.2023","94,98","96,00","97,35","94,63","15,77K","-1,06%"
"03.04.2023","96,00","91,75","96,16","91,69","15,34K","4,63%"
"31.03.2023","91,75","90,93","92,89","90,71","14,19K","1,05%"
"30.03.2023","90,80","90,43","91,76","89,55","15,57K","0,87%"
"29.03.2023","90,02","89,47","91,10","89,33","12,36K","0,69%"
"28.03.2023","89,40","87,62","90,56","87,62","15,63K","1,44%"
"27.03.2023","88,13","88,02","89,19","86,73","13,64K","3,20%"
"24.03.2023","85,40","89,96","91,02","84,18","1,11K","-5,30%"
"23.03.2023","90,18","87,45","90,40","87,45","1,51K","4,10%"
"22.03.2023","86,63","87,10","87,68","85,50","2,03K","-0,86%"
"21.03.2023","87,38","86,16","88,40","85,69","2,19K","2,58%"
"20.03.2023","85,18","83,70","86,00","82,13","2,39K","-0,46%"
"17.03.2023","85,57","85,68","87,07","83,43","0,64K","0,35%"
"16.03.2023","85,27","88,30","88,30","83,71","2,79K","-1,59%"
"15.03.2023","86,65","90,36","91,23","86,53","1,93K","-3,43%"
"14.03.2023","89,73","92,91","93,54","89,55","1,15K","-3,51%"
"13.03.2023","92,99","96,30","96,30","92,37","2,06K","-3,97%"
"10.03.2023","96,83","95,53","96,93","95,30","2,42K","1,50%"
"09.03.2023","95,40","95,75","96,64","93,86","1,56K","0,68%"
"08.03.2023","94,76","93,52","95,73","93,50","3,12K","2,04%"
"07.03.2023","92,87","91,12","93,59","91,11","1,28K","3,23%"
"06.03.2023","89,96","90,50","91,35","89,05","0,52K","0,77%"
"03.03.2023","89,27","90,00","90,17","88,47","0,71K","-0,92%"
"02.03.2023","90,10","94,77","95,00","89,87","0,40K","-3,94%"
"01.03.2023","93,80","96,10","96,26","93,52","0,39K","-2,17%"
"28.02.2023","95,88","96,90","97,20","95,88","1,01K","-1,05%"
"27.02.2023","96,90","95,64","96,94","95,31","0,55K","2,23%"
"24.02.2023","94,79","94,93","96,03","94,10","0,24K","1,01%"
"23.02.2023","93,84","93,47","94,98","93,26","0,80K","0,42%"
"22.02.2023","93,45","97,12","97,12","93,36","0,26K","-3,78%"
"21.02.2023","97,12","95,43","97,99","94,00","0,53K","2,11%"
"20.02.2023","95,11","94,63","96,70","93,96","0,68K","1,91%"
"17.02.2023","93,33","94,95","95,42","92,55","0,60K","-1,89%"
"16.02.2023","95,13","91,68","95,13","91,68","0,56K","3,96%"
"15.02.2023","91,51","88,51","91,58","88,10","2,06K","3,26%"
"14.02.2023","88,62","90,25","90,25","87,24","0,75K","-0,82%"
"13.02.2023","89,35","90,10","90,63","89,00","0,24K","-1,21%"
"10.02.2023","90,44","88,00","90,44","88,00","1,21K","2,20%"
"09.02.2023","88,49","87,60","89,92","87,23","0,53K","1,03%"
"08.02.2023","87,59","87,20","88,96","86,70","0,14K","-0,35%"
"07.02.2023","87,90","88,20","88,36","86,50","0,29K","-0,07%"
"06.02.2023","87,96","90,44","92,34","87,80","0,44K","-3,23%"
"03.02.2023","90,90","91,82","92,98","90,41","0,75K","0,28%"
"02.02.2023","90,65","92,80","93,96","89,23","1,06K","-2,16%"
"01.02.2023","92,65","90,00","94,26","90,00","0,61K","2,80%"
"31.01.2023","90,13","87,18","90,33","86,43","2,81K","3,35%"
"30.01.2023","87,21","87,05","87,56","85,84","1,54K","0,31%"
"27.01.2023","86,94","86,81","88,00","86,37","1,19K","0,15%"
"26.01.2023","86,81","82,19","86,90","81,65","0,95K","5,51%"
"25.01.2023","82,28","79,46","82,40","78,90","0,30K","3,34%"
"24.01.2023","79,62","81,93","82,21","79,10","0,65K","-2,67%"
"23.01.2023","81,80","82,59","83,32","81,70","0,44K","-0,97%"
"20.01.2023","82,60","81,92","82,72","81,01","0,84K","0,90%"
"19.01.2023","81,86","80,89","82,73","80,78","0,69K","0,54%"
"18.01.2023","81,42","76,90","81,42","76,85","1,03K","5,45%"
"17.01.2023","77,21","75,25","77,70","74,75","0,56K","2,85%"
"16.01.2023","75,07","76,80","76,98","75,07","0,73K","-2,76%"
"13.01.2023","77,20","77,49","78,00","75,82","0,48K","-0,72%"
"12.01.2023","77,76","76,73","77,90","76,25","0,11K","1,46%"
"11.01.2023","76,64","78,25","79,11","76,24","1,41K","-2,22%"
"10.01.2023","78,38","79,74","79,79","77,94","1,75K","-0,91%"
"09.01.2023","79,10","74,80","79,58","74,80","1,21K","4,70%"
"06.01.2023","75,55","76,00","77,33","75,00","0,43K","-0,91%"
"05.01.2023","76,24","75,35","77,43","74,85","0,84K","1,11%"
